Sample_ID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
2-OXOBUTYRATE-SYNTHASE-RXN	1.3411181	1.3047683	0.710888	7.950534	5.054974	3.0400805	2.524068	6.823312	4.3067477	6.128225	2.270452	0.636847	1.70535	3.738681	2.92496	4.58903	1.853389
2-OXOBUTYRATE-SYNTHASE-RXN|g__Bacteroides.s__Bacteroides_sartorii	0.186556	0	0	4.99494	2.43689	1.98287	0.987918	3.64351	2.28997	3.22032	1.17289	0	0	1.58803	0.822778	1.75097	0.887228
2-OXOBUTYRATE-SYNTHASE-RXN|g__Parabacteroides.s__Parabacteroides_distasonis	0.100755	0.244515	0.163506	2.26438	0.361052	0.294105	0.708169	1.09218	1.372	0.495924	0.393107	0.261693	0.713959	0.494878	0.306649	0.543881	0.51101
2-OXOBUTYRATE-SYNTHASE-RXN|unclassified	1.0538071	1.0602533	0.547382	0.691214	2.257032	0.7631055	0.827981	2.087623	0.6447757	2.411975	0.704456	0.375154	0.991394	1.65577	1.795533	2.294177	0.455151
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0	0	0.181812	0	0	0	0	0.104771	0	0.412278	0	0	0	0	0.112837	0.618981	0.243895
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN|unclassified	0	0	0.181812	0	0	0	0	0.104771	0	0.412278	0	0	0	0	0.112837	0.618981	0.243895
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	0.420677	0.2305793	0.223974	0.452316	2.0391598	0.0879456	0.192444	0.740581	0	0.1726915	0.162523	0	0	0	0	0	0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN|g__Escherichia.s__Escherichia_coli	0	0	0	0.452316	1.955478	0	0	0.740581	0	0	0	0	0	0	0	0	0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN|unclassified	0.420677	0.2305793	0.223974	0	0.0836818	0.0879456	0.192444	0	0	0.1726915	0.162523	0	0	0	0	0	0
BUTYRATE-KINASE-RXN	43.6541487	15.0827061	14.6386153	33.818286	34.3355929	27.8560697	26.1930605	40.6894845	40.941877	49.0188134	26.2376318	42.655494	29.3433524	51.6803501	52.372268	35.3392391	24.2936719
BUTYRATE-KINASE-RXN|g__Acetatifactor.s__Acetatifactor_muris	0	0	0	0	0	0	0	0	0	0.144981	0	0	0	0	0.266324	0	0
BUTYRATE-KINASE-RXN|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0.36865	0	0	0	0	0	0	0	0	0	0	0	0	0
BUTYRATE-KINASE-RXN|g__Alistipes.s__Alistipes_timonensis	0	0	0	0.344481	1.8654	0.527321	0	0.823275	0.271073	1.0865	0.503217	0.448611	0.174623	0.129945	0.443866	1.41916	0.241256
BUTYRATE-KINASE-RXN|g__Bacteroides.s__Bacteroides_caecimuris	0.0880766	0.511582	0.25778	2.35825	13.462	0.507656	0.742736	8.79374	1.59988	9.38343	0.802019	0.574652	0.125527	1.07292	3.25681	0.511028	0.226899
BUTYRATE-KINASE-RXN|g__Bacteroides.s__Bacteroides_faecichinchillae	0	0	0	0	0	0	0.144401	0	0.218264	0	0	0	0	0	0	0	0
BUTYRATE-KINASE-RXN|g__Bacteroides.s__Bacteroides_sartorii	0.364887	0.149085	0.119108	5.39776	3.39872	2.3217	0.699222	6.29231	3.08102	4.01206	1.19912	0	0.150183	2.82674	1.39849	2.4001	0.970196
BUTYRATE-KINASE-RXN|g__Bacteroides.s__Bacteroides_uniformis	0	0.129974	0	0	0.319825	0	1.10917	0	2.79064	0.510685	0.2888	0	0.171455	0.529879	0.196533	0.104255	0.476049
BUTYRATE-KINASE-RXN|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0	0.0975021	0	0	0.199904	0	0.844842	0	1.99128	0.398903	0.206374	0	0.146767	0.347056	0.087309	0.104255	0.392409
BUTYRATE-KINASE-RXN|g__Clostridium.s__Clostridium_sp_ASF502	0.26527	0.174751	0	0	0	0	0	0.196357	0	0.171552	0	0.155924	0	0.0893331	0.574297	0	0
BUTYRATE-KINASE-RXN|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0.52733	0.353187	0.364226	0.168482	0	0.600014	0.140209	0.301881	0.300341	0.221484	0.245984	0.478372	0	1.83295	1.68891	0.618392	0.271119
BUTYRATE-KINASE-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	0	0	0	0.746624	0	0	0	0.164781	0	0.194084	0	0.428385	0.324396	0.668119	1.6366	0.84606	0.346712
BUTYRATE-KINASE-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0	0	0.120457	0	0	0.389777	0.573987	0.309006	0.271112	0.762259	0.524239	0.346726	0	0	0.266373	0	0.190747
BUTYRATE-KINASE-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	1.20883	0.427573	0.873382	0	0	0	0.489535	0	0.343189	0	0	0	0	0	0	0	0.138677
BUTYRATE-KINASE-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	0.0145862	0	0.464692	0	0	0	0.0205067	0	0.541988	0	0	0	0	0	0	0	0.0519945
BUTYRATE-KINASE-RXN|g__Prevotella.s__Prevotella_sp_MGM2	0.3374	1.11339	0.454878	0.63595	3.74036	2.41926	3.30114	8.63491	11.7129	1.3877	5.37515	4.63021	5.79445	4.87177	0.29035	0.490442	2.02248
BUTYRATE-KINASE-RXN|g__Romboutsia.s__Romboutsia_ilealis	0	0	0	0	0	0.24731	0	0.282686	0.103962	0.33405	0	0	0.171344	0	0	0	0
BUTYRATE-KINASE-RXN|unclassified	40.8477841	12.1256541	11.984087	23.798093	11.3494029	20.8430267	18.1273055	14.8905425	17.7162215	30.4111693	17.0927318	35.592616	22.2846124	39.311636	42.26641	28.8455581	18.9651349
