clade_name	NCBI_tax_id	Start_metaphlan_bugs_list	RCE_plus_DSS_313_metaphlan_bugs_list	RCE_plus_DSS_305_metaphlan_bugs_list	RCE_plus_DSS_301_metaphlan_bugs_list	RCE_322_metaphlan_bugs_list	RCE_319_metaphlan_bugs_list	RCE_318_metaphlan_bugs_list	D_RCE_plus_DSS_metaphlan_bugs_list	D_RCE_metaphlan_bugs_list	D_DSS_metaphlan_bugs_list	D_Control_metaphlan_bugs_list	DSS_treatedp_metaphlan_bugs_list	DSS_339_metaphlan_bugs_list	DSS_334_metaphlan_bugs_list	Control_330_metaphlan_bugs_list	Control_328_metaphlan_bugs_list	Control_327_metaphlan_bugs_list
k__Bacteria	2	99.42336	99.86185	99.6951	98.8925	99.51907	98.77448000000001	99.68009	97.03959	99.59588000000001	98.36012	99.28293000000001	84.8371	94.66055	99.94366	95.76869	95.7183	98.31652
k__Bacteria|p__Actinobacteria	2|201174	1.0363799999999999	2.28472	0.37964000000000003	0.6721199999999999	2.84361	0.97788	1.68661	1.14194	2.31184	3.97985	0.47631	3.8665300000000005	1.32168	0.58373	0.58906	1.21246	2.15037
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	0.9790399999999999	2.25615	0.37378	0.6384	2.84052	0.9373299999999999	1.6636	1.1060299999999998	2.2909599999999997	3.9103800000000004	0.38745	3.84735	1.2457799999999999	0.54448	0.5767	1.18812	2.1103400000000003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.05735	0.028569999999999998	0.00586	0.03372	0.00309	0.04055	0.02302	0.0359	0.020880000000000003	0.06947	0.08887	0.019180000000000003	0.0759	0.03925	0.01236	0.02434	0.04003
