Sample_ID,Control,Control,Control,DSS,DSS,DSS,Control,DSS,RCJ,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,Start
UNMAPPED,618026.0,648252.0,755804.0,631384.0,673924.0,743393.0,680141.0,635064.0,548401.0,647796.0,652052.0,663328.0,614765.0,657645.0,614739.0,665880.0,617485.0
UNINTEGRATED,361807.0,334330.0,230420.0,343271.0,305475.0,243064.0,300412.0,340452.0,430197.0,327477.0,328735.0,316074.0,368766.0,318697.0,358494.0,313955.0,363857.0
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris,0.0,0.0,0.0,0.0,0.0,537.201,0.0,0.0,0.0,2382.09,4231.7,6410.22,0.0,3577.68,5430.36,2698.27,2008.23
UNINTEGRATED|g__Acutalibacter.s__Acutalibacter_muris,1217.37,0.0,583.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.98,0.0,1581.52,3072.26,0.0,676.264
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus,0.0,0.0,0.0,537.441,0.0,0.0,0.0,135.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis,0.0,0.0,0.0,607.974,3035.19,970.467,0.0,1613.99,527.973,2032.69,806.327,917.316,502.559,397.677,861.3,2670.45,464.091
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,2209.72,806.961,1466.14,0.0,0.0,0.0,1150.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.16
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris,1457.06,2931.06,1888.64,14091.3,38722.9,7306.65,5068.93,32309.7,9277.03,34711.4,5342.99,4583.26,2888.89,6105.4,10933.4,7245.98,3842.75
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae,423.07,0.0,0.0,0.0,0.0,0.0,1135.84,0.0,1240.23,0.0,1543.46,1802.22,557.515,0.0,0.0,0.0,1204.28
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii,2928.26,3860.42,1254.72,21964.8,11914.1,9862.5,5875.5,23624.2,20968.0,14068.3,8833.71,0.0,9463.78,8771.48,5629.08,11805.5,8726.91
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,0.0,3600.2,0.0,13928.3,5070.9,5260.07,7808.48,8168.09,16104.1,6197.29,4585.17,0.0,7748.47,4296.83,2988.62,5765.33,5765.03
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,0.0,182.131,0.0,142.584,341.562,79.8516,1920.38,149.73,4560.43,755.935,172.564,0.0,507.823,522.985,277.622,98.0092,973.447
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum,1252.19,886.662,203.504,254.874,459.511,1378.81,178.015,3048.47,2253.88,611.655,1607.38,642.565,1888.71,311.471,185.322,950.913,692.324
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF502,3491.23,1568.85,1059.07,0.0,0.0,1383.94,0.0,1095.98,0.0,1910.46,0.0,0.0,0.0,3769.15,4259.54,0.0,0.0
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2,4201.0,5367.55,4113.87,0.0,0.0,0.0,1495.06,0.0,0.0,447.688,0.0,1660.43,3252.7,1869.83,3068.41,0.0,0.0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli,0.0,0.0,0.0,6471.44,41183.8,0.0,0.0,8597.75,0.0,3739.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium,0.0,0.0,0.0,0.0,0.0,0.0,508.04,1265.52,1545.08,811.193,866.286,255.363,0.0,709.158,0.0,1541.25,681.368
