Sample_ID,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
X0,618026.0,648252.0,755804.0,631384.0,673924.0,743393.0,680141.0,635064.0,548401.0,647796.0,652052.0,663328.0,614765.0,657645.0,614739.0,665880.0,617485.0
X1,361807.0,334330.0,230420.0,343271.0,305475.0,243064.0,300412.0,340452.0,430197.0,327477.0,328735.0,316074.0,368766.0,318697.0,358494.0,313955.0,363857.0
X2,0.0,0.0,0.0,0.0,0.0,537.201,0.0,0.0,0.0,2382.09,4231.7,6410.22,0.0,3577.68,5430.36,2698.27,2008.23
X3,1217.37,0.0,583.4119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.98,0.0,1581.52,3072.26,0.0,676.2639999999999
X4,0.0,0.0,0.0,537.441,0.0,0.0,0.0,135.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X5,0.0,0.0,0.0,607.974,3035.19,970.467,0.0,1613.99,527.9730000000001,2032.69,806.327,917.316,502.559,397.67699999999996,861.3,2670.45,464.091
X6,2209.72,806.961,1466.14,0.0,0.0,0.0,1150.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.16
X7,1457.06,2931.06,1888.64,14091.3,38722.9,7306.65,5068.93,32309.7,9277.03,34711.4,5342.99,4583.26,2888.89,6105.4,10933.4,7245.98,3842.75
X8,423.07,0.0,0.0,0.0,0.0,0.0,1135.84,0.0,1240.23,0.0,1543.46,1802.22,557.515,0.0,0.0,0.0,1204.28
X9,2928.26,3860.42,1254.72,21964.8,11914.1,9862.5,5875.5,23624.2,20968.0,14068.3,8833.71,0.0,9463.78,8771.48,5629.08,11805.5,8726.91
