feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X673	DSS_only	TRUE	-0.318166556847276	0.0118263924798033	12	3	2.5127744836781e-08	0.000104074853015234
X811	DSS_only	TRUE	-0.333693092772814	0.0127733373882723	12	3	3.0809607168512e-08	0.000104074853015234
X531	RCEwDSS_only	TRUE	0.622150557503968	0.0303669474283661	12	3	1.65563384008477e-07	0.000372848740787091
X673	RCEwDSS_only	TRUE	-0.318166556847277	0.0167250446388851	12	3	2.7597769534229e-07	0.000456413058694984
X811	RCEwDSS_only	TRUE	-0.333693092772814	0.018064226971262	12	3	3.37783495185749e-07	0.000456413058694984
X254	Sex	M	-0.388421201278735	0.0235740488341305	12	3	7.40096067681525e-07	0.000625011129157048
X255	Sex	M	-0.388421201278735	0.0235740488341305	12	3	7.40096067681525e-07	0.000625011129157048
X1541	DSS_only	TRUE	-0.789612285404802	0.046589219510843	12	6	6.10009612752926e-07	0.000625011129157048
X673	RCE_only	TRUE	-0.318166556847277	0.0213203322448463	12	3	1.45519938066424e-06	0.00109236966841862
X254	RCEwDSS_only	TRUE	0.301029995663982	0.0222258263875153	12	3	2.8112184462833e-06	0.00112025440029022
X254	RCE_only	TRUE	-0.388421201278733	0.0283324806139165	12	3	2.58952846725345e-06	0.00112025440029022
X255	RCEwDSS_only	TRUE	0.301029995663982	0.0222258263875153	12	3	2.8112184462833e-06	0.00112025440029022
X255	RCE_only	TRUE	-0.388421201278733	0.0283324806139165	12	3	2.58952846725345e-06	0.00112025440029022
X695	DSS_only	TRUE	-0.35250371370215	0.0256619688768882	12	3	2.555193598136e-06	0.00112025440029022
X811	RCE_only	TRUE	-0.333693092772814	0.0230274614561086	12	3	1.77724423275292e-06	0.00112025440029022
X967	DSS_only	TRUE	-0.356774668305634	0.0252972804486559	12	3	2.13690110846863e-06	0.00112025440029022
X993	DSS_only	TRUE	-0.767887996503716	0.0567179459694734	12	6	2.81887578521814e-06	0.00112025440029022
X199	DSS_only	TRUE	-0.960310500860398	0.0765480865407764	12	6	4.71639653426918e-06	0.00138027945323518
X410	DSS_only	TRUE	-0.848087525558205	0.0716121054934087	12	6	6.94634419922974e-06	0.00138027945323518
X429	DSS_only	TRUE	-0.88190284355743	0.0725307664881838	12	6	5.82037877406381e-06	0.00138027945323518
X559	DSS_only	TRUE	-0.7712343491528	0.0637115250240703	12	6	5.99675476056761e-06	0.00138027945323518
X576	DSS_only	TRUE	-0.916102317402587	0.0744337661188581	12	6	5.36402624843763e-06	0.00138027945323518
X759	DSS_only	TRUE	-0.964793604993095	0.0790858311907413	12	6	5.6923794325743e-06	0.00138027945323518
X969	DSS_only	TRUE	-0.833180669641264	0.0674465256064834	12	6	5.23228898005285e-06	0.00138027945323518
X1110	DSS_only	TRUE	-0.809447794740174	0.0683466959635796	12	6	6.94451225441873e-06	0.00138027945323518
X1203	DSS_only	TRUE	-0.837175916470985	0.069938057794267	12	6	6.46511605758584e-06	0.00138027945323518
X1243	DSS_only	TRUE	-0.703046738762436	0.0561942173676982	12	6	4.80384141640371e-06	0.00138027945323518
X1263	DSS_only	TRUE	-0.891776197394998	0.0749313194597369	12	6	6.72076319396109e-06	0.00138027945323518
X1500	DSS_only	TRUE	-0.790903010096799	0.066051718339992	12	6	6.4515505689268e-06	0.00138027945323518
X1541	RCEwDSS_only	TRUE	-0.789612285404803	0.0658871060926113	12	6	6.41434123413797e-06	0.00138027945323518
X1555	DSS_only	TRUE	-0.843915222749028	0.0656280779380352	12	6	3.99270679135425e-06	0.00138027945323518
X1788	DSS_only	TRUE	-0.875023418135993	0.0692846202150371	12	6	4.50855583521122e-06	0.00138027945323518
X1818	DSS_only	TRUE	-0.786640711673485	0.0626778177396195	12	6	4.70286938977016e-06	0.00138027945323518
X1837	DSS_only	TRUE	-0.875023418135993	0.0692846202150371	12	6	4.50855583521122e-06	0.00138027945323518
X1930	Sex	M	-0.34601296917641	0.029448268729271	12	2	7.32296451191972e-06	0.00141354137835799
X444	DSS_only	TRUE	-0.893749045030597	0.0771471272302907	12	6	8.04961001072552e-06	0.00151064347867949
X731	DSS_only	TRUE	-0.818031912440174	0.0714999210038355	12	6	8.75176907890008e-06	0.00151607568966792
X1142	DSS_only	TRUE	-0.81715742470591	0.0712086252794805	12	6	8.57727373518254e-06	0.00151607568966792
X1312	DSS_only	TRUE	-0.81715742470591	0.0712086252794805	12	6	8.57727373518254e-06	0.00151607568966792
X230	DSS_only	TRUE	-0.987234561016736	0.0868402799644624	12	6	9.1321899669826e-06	0.00154242688542336
X54	DSS_only	TRUE	-0.845012754570783	0.0747697785412418	12	6	9.49913714437943e-06	0.00156527245237628
X1768	DSS_only	TRUE	-0.841641714100665	0.0772534150516614	12	6	1.21293932113357e-05	0.00195109953656629
X31	DSS_only	TRUE	-1.66327899657487	0.155501908546175	12	4	1.37051301168738e-05	0.00215329904813022
X1850	DSS_only	TRUE	-0.842642210025008	0.0790724329168512	12	6	1.40469256455738e-05	0.00215684158321583
X288	DSS_only	TRUE	-0.812145740577929	0.0768113644962488	12	6	1.47981063930429e-05	0.00222168903980884
X1167	DSS_only	TRUE	-0.711745403522255	0.0678951081207274	12	6	1.566335217285e-05	0.00230046972347335
X1191	DSS_only	TRUE	-0.706016962457322	0.0687911456035775	12	6	1.80221604810356e-05	0.00259058970659311
X932	DSS_only	TRUE	-0.767992787112614	0.0763060666171454	12	6	2.05042222752308e-05	0.00266397164791268
X1682	DSS_only	TRUE	-0.728095863714511	0.0717554035164778	12	6	1.94314568039632e-05	0.00266397164791268
X2044	DSS_only	TRUE	-0.767992787112614	0.0763060666171454	12	6	2.05042222752308e-05	0.00266397164791268
X2238	DSS_only	TRUE	-0.685396515318356	0.0680788493469916	12	6	2.0463268876101e-05	0.00266397164791268
