feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X495	RCEwDSS_only	TRUE	0.427759091963534	0.010977395548014	12	3	1.90836290762108e-09	0.00010055545832837
X496	RCEwDSS_only	TRUE	0.427759091963534	0.010977395548014	12	3	1.90836290762108e-09	0.00010055545832837
X15652	Sex	M	-0.315627473192275	0.00955629224697487	12	2	6.03857620336944e-09	0.000106061552435981
X15832	Sex	M	-0.315627473192275	0.00955629224697487	12	2	6.03857620336944e-09	0.000106061552435981
X15866	Sex	M	-0.315627473192275	0.00955629224697487	12	2	6.03857620336944e-09	0.000106061552435981
X28919	Sex	M	-0.315627473192275	0.00955629224697487	12	2	6.03857620336944e-09	0.000106061552435981
X15652	RCE_only	TRUE	-0.315627473192272	0.011485233899929	12	2	2.16802096143475e-08	0.00022847472099984
X15832	RCE_only	TRUE	-0.315627473192272	0.011485233899929	12	2	2.16802096143475e-08	0.00022847472099984
X15866	RCE_only	TRUE	-0.315627473192272	0.011485233899929	12	2	2.16802096143475e-08	0.00022847472099984
X28919	RCE_only	TRUE	-0.315627473192272	0.011485233899929	12	2	2.16802096143475e-08	0.00022847472099984
X30940	DSS_only	TRUE	-0.811390584551589	0.0343103376176638	12	6	6.14230700773078e-08	0.000588455347002455
X30854	DSS_only	TRUE	-0.33169602461721	0.0145643048074384	12	3	7.97088455068324e-08	0.000700003081241002
X16881	DSS_only	TRUE	0.889789147742289	0.0435359308406119	12	6	1.68361165306102e-07	0.00118283820297455
X19172	DSS_only	TRUE	0.889789147742289	0.0435359308406119	12	6	1.68361165306102e-07	0.00118283820297455
X28277	DSS_only	TRUE	0.889789147742289	0.0435359308406119	12	6	1.68361165306102e-07	0.00118283820297455
X11876	DSS_only	TRUE	-0.3450419216195	0.0177341923741726	12	3	2.36369156369261e-07	0.00124547635874091
X12360	DSS_only	TRUE	-0.3450419216195	0.0177341923741726	12	3	2.36369156369261e-07	0.00124547635874091
X12388	DSS_only	TRUE	-0.3450419216195	0.0177341923741726	12	3	2.36369156369261e-07	0.00124547635874091
X27437	DSS_only	TRUE	-0.82877475728312	0.0418153586493488	12	6	2.08066155630493e-07	0.00124547635874091
X27929	DSS_only	TRUE	-0.843671351796951	0.0433059075148859	12	6	2.34258139093919e-07	0.00124547635874091
X880	DSS_only	TRUE	-0.986670360494727	0.0605863198431802	12	6	8.01648695851271e-07	0.00127582460819427
X897	DSS_only	TRUE	-0.772079513394556	0.0450409812465212	12	6	5.64388385367755e-07	0.00127582460819427
X1915	DSS_only	TRUE	1.34855752467598	0.0804795607147555	12	6	6.59490103443166e-07	0.00127582460819427
X2090	DSS_only	TRUE	0.64895102872675	0.0351874332782329	12	6	3.41566094342301e-07	0.00127582460819427
X2285	DSS_only	TRUE	-0.813263661692329	0.0444225004838131	12	6	3.59287793966567e-07	0.00127582460819427
X2649	DSS_only	TRUE	-0.889393298243862	0.0505756592233248	12	6	4.73651944485112e-07	0.00127582460819427
X2706	DSS_only	TRUE	-0.889393298243862	0.0505756592233248	12	6	4.73651944485112e-07	0.00127582460819427
X3126	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X4615	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X4725	DSS_only	TRUE	-0.798378838242966	0.0494439438060359	12	6	8.4976281914152e-07	0.00127582460819427
X4783	DSS_only	TRUE	-0.668986961138083	0.0393314406405632	12	6	5.95278188948045e-07	0.00127582460819427
X4824	DSS_only	TRUE	-0.338661013840957	0.0192517510766249	12	3	4.72585413742924e-07	0.00127582460819427
X5538	DSS_only	TRUE	0.696991534987473	0.0381887831153409	12	6	3.66968262921858e-07	0.00127582460819427
X6318	DSS_only	TRUE	-0.792051382504015	0.0463896080621961	12	6	5.79933855943278e-07	0.00127582460819427
X6365	Sex	M	-0.331284430260335	0.0198061766636974	12	2	6.67688582165461e-07	0.00127582460819427
X6624	DSS_only	TRUE	-0.79230253753793	0.0491822221647584	12	6	8.63422879468731e-07	0.00127582460819427
X6998	DSS_only	TRUE	0.599170288169114	0.0374955982129661	12	6	9.12504498029483e-07	0.00127582460819427
X7055	DSS_only	TRUE	0.655409268913881	0.0411661943000975	12	6	9.35740565432564e-07	0.00127582460819427
X7527	DSS_only	TRUE	-0.825322071312672	0.0483926138756514	12	6	5.84419944610784e-07	0.00127582460819427
X8490	DSS_only	TRUE	-0.33825431850685	0.0200083692850179	12	3	6.20656758830255e-07	0.00127582460819427
X8493	DSS_only	TRUE	0.591463221180477	0.0342257638330237	12	6	5.33876880648696e-07	0.00127582460819427
X8509	DSS_only	TRUE	-0.360412512337422	0.0224615588464466	12	3	8.8715860607428e-07	0.00127582460819427
X9047	DSS_only	TRUE	-0.928446681679036	0.0584380346771753	12	6	9.49240513497193e-07	0.00127582460819427
X9461	DSS_only	TRUE	0.760465293447223	0.0413304183950037	12	6	3.47096526341141e-07	0.00127582460819427
X9652	RCEwDSS_only	TRUE	0.301029995663982	0.0187589726430624	12	3	8.86589727333808e-07	0.00127582460819427
X10138	DSS_only	TRUE	1.11255154439325	0.0578969784820583	12	6	2.5748202368793e-07	0.00127582460819427
X10672	DSS_only	TRUE	-0.791232418850451	0.0489160289770533	12	6	8.39695763656499e-07	0.00127582460819427
X10957	DSS_only	TRUE	-0.885981898232468	0.0528412445206676	12	6	6.56709513643672e-07	0.00127582460819427
X11424	DSS_only	TRUE	-0.820663567378865	0.0501335034274373	12	6	7.73862321015773e-07	0.00127582460819427
X11774	DSS_only	TRUE	-0.894262296855458	0.0495888352876877	12	6	3.98499436483353e-07	0.00127582460819427
X12215	DSS_only	TRUE	-0.683747608945101	0.0381970297616803	12	6	4.19282240627812e-07	0.00127582460819427
X13418	DSS_only	TRUE	-0.928446681679036	0.0584380346771753	12	6	9.49240513497193e-07	0.00127582460819427
X13892	DSS_only	TRUE	-0.894262296855458	0.0495888352876877	12	6	3.98499436483353e-07	0.00127582460819427
X14245	DSS_only	TRUE	-0.867631495523393	0.0533276719153518	12	6	8.06903114943958e-07	0.00127582460819427
X15961	DSS_only	TRUE	-0.871740992089214	0.0549293326061499	12	6	9.56408411593287e-07	0.00127582460819427
X16378	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X16402	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X16776	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X17692	DSS_only	TRUE	-0.791232418850451	0.0489160289770533	12	6	8.39695763656499e-07	0.00127582460819427
X19154	DSS_only	TRUE	-0.881622517264427	0.0536831815785257	12	6	7.56893445926687e-07	0.00127582460819427
X19599	DSS_only	TRUE	-0.736643322669037	0.0441821484026151	12	6	6.82482822740359e-07	0.00127582460819427
X20482	DSS_only	TRUE	0.64895102872675	0.0351874332782329	12	6	3.41566094342301e-07	0.00127582460819427
X20634	DSS_only	TRUE	-0.881622517264427	0.0536831815785257	12	6	7.56893445926687e-07	0.00127582460819427
X21394	DSS_only	TRUE	-0.832495180528282	0.0509745412584712	12	6	7.86256683440998e-07	0.00127582460819427
X25105	DSS_only	TRUE	-0.338661013840957	0.0192517510766249	12	3	4.72585413742924e-07	0.00127582460819427
X25200	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X25375	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X25399	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
X25996	DSS_only	TRUE	-0.894262296855458	0.0495888352876877	12	6	3.98499436483353e-07	0.00127582460819427
X27398	DSS_only	TRUE	-0.736643322669037	0.0441821484026151	12	6	6.82482822740359e-07	0.00127582460819427
X27638	DSS_only	TRUE	-0.881622517264427	0.0536831815785257	12	6	7.56893445926687e-07	0.00127582460819427
X28101	DSS_only	TRUE	-0.736643322669037	0.0441821484026151	12	6	6.82482822740359e-07	0.00127582460819427
X28865	DSS_only	TRUE	-0.894584102911754	0.0508266896515738	12	6	4.7083840207992e-07	0.00127582460819427
X30854	RCEwDSS_only	TRUE	-0.33169602461721	0.0205970373852151	12	3	8.65428467558084e-07	0.00127582460819427
X30940	RCEwDSS_only	TRUE	-0.811390584551589	0.0485221447885	12	6	6.68851932371692e-07	0.00127582460819427
X31244	DSS_only	TRUE	-0.912404400715103	0.0516384855167179	12	6	4.5847013557044e-07	0.00127582460819427
X31517	DSS_only	TRUE	-0.798033688299737	0.0490987731686821	12	6	8.12412728993821e-07	0.00127582460819427
X31638	DSS_only	TRUE	-0.760162964407323	0.0448195451820186	12	6	6.07025697327414e-07	0.00127582460819427
X32020	DSS_only	TRUE	-0.827479963391904	0.0517204415861022	12	6	9.04992971857965e-07	0.00127582460819427
