feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
THYMIDYLATESYN-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.811390584551589,0.0343103376176638,12,6,6.14230700773078e-08,0.0005884553470024
THREONINE--TRNA-LIGASE-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,DSS_only,TRUE,-0.33169602461721,0.0145643048074384,12,3,7.97088455068324e-08,0.000700003081241
RXN-14267|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,DSS_only,TRUE,0.889789147742289,0.0435359308406119,12,6,1.68361165306102e-07,0.0011828382029745
RXN-16938|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,DSS_only,TRUE,0.889789147742289,0.0435359308406119,12,6,1.68361165306102e-07,0.0011828382029745
RXN0-5225|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,DSS_only,TRUE,0.889789147742289,0.0435359308406119,12,6,1.68361165306102e-07,0.0011828382029745
PNKIN-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,DSS_only,TRUE,-0.3450419216195,0.0177341923741726,12,3,2.36369156369261e-07,0.0012454763587409
PYRAMKIN-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,DSS_only,TRUE,-0.3450419216195,0.0177341923741726,12,3,2.36369156369261e-07,0.0012454763587409
PYRIDOXKIN-RXN|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,DSS_only,TRUE,-0.3450419216195,0.0177341923741726,12,3,2.36369156369261e-07,0.0012454763587409
RXN0-1321|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.82877475728312,0.0418153586493488,12,6,2.08066155630493e-07,0.0012454763587409
RXN0-4022|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.843671351796951,0.0433059075148859,12,6,2.34258139093919e-07,0.0012454763587409
2.5.1.19-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.986670360494727,0.0605863198431802,12,6,8.01648695851271e-07,0.0012758246081942
2.5.1.64-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.772079513394556,0.0450409812465212,12,6,5.64388385367755e-07,0.0012758246081942
3.2.1.80-RXN|g__Bacteroides.s__Bacteroides_vulgatus,DSS_only,TRUE,0.64895102872675,0.0351874332782329,12,6,3.41566094342301e-07,0.0012758246081942
3.4.13.22-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.813263661692329,0.0444225004838131,12,6,3.59287793966567e-07,0.0012758246081942
3.5.1.27-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.889393298243862,0.0505756592233248,12,6,4.73651944485112e-07,0.0012758246081942
3.5.1.88-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.889393298243862,0.0505756592233248,12,6,4.73651944485112e-07,0.0012758246081942
5-NUCLEOTID-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.827479963391904,0.0517204415861022,12,6,9.04992971857965e-07,0.0012758246081942
AMP-DEPHOSPHORYLATION-RXN|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720,DSS_only,TRUE,-0.827479963391904,0.0517204415861022,12,6,9.04992971857965e-07,0.0012758246081942
