feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
RXN-12402,DSS_only,TRUE,0.6425981506422359,0.0524745694940483,12,12,5.54844356097322e-06,0.0016802217707747198
RXN0-5001,DSS_only,TRUE,0.6425981506422359,0.0524745694940483,12,12,5.54844356097322e-06,0.0016802217707747198
3.4.14.5-RXN,DSS_only,TRUE,0.7819427076433191,0.0658207622380381,12,12,6.80224961688026e-06,0.0018667923792325802
3.2.1.55-RXN,DSS_only,TRUE,0.732277015820274,0.0681684981798225,12,12,1.3320278171532302e-05,0.0025615769978627103
RXN-19757,DSS_only,TRUE,0.732277015820274,0.0681684981798225,12,12,1.3320278171532302e-05,0.0025615769978627103
RXN-19758,DSS_only,TRUE,0.732277015820274,0.0681684981798225,12,12,1.3320278171532302e-05,0.0025615769978627103
RXN-19769,DSS_only,TRUE,0.732277015820274,0.0681684981798225,12,12,1.3320278171532302e-05,0.0025615769978627103
3.4.11.5-RXN,DSS_only,TRUE,-1.21734634206303,0.113475520781771,12,12,1.34389220359316e-05,0.0025740537559444
RNA-LIGASE-ATP-RXN,DSS_only,TRUE,-1.64696809308498,0.15988544116867,12,9,1.7590077426246803e-05,0.00288501393192358
NADPH-DEHYDROGENASE-RXN,DSS_only,TRUE,0.7947362111255629,0.0786316927437738,12,12,1.9942757476797198e-05,0.003109379381066
OROTATE-REDUCTASE-NADH-RXN,DSS_only,TRUE,0.930790823345249,0.0934526027502904,12,12,2.1966437209930104e-05,0.0033022981725125103
RXN-12402,RCEwDSS_only,TRUE,0.6925409088842671,0.0742102478581726,12,12,3.36794384701587e-05,0.0041767939926899995
RXN0-5001,RCEwDSS_only,TRUE,0.6925409088842671,0.0742102478581726,12,12,3.36794384701587e-05,0.0041767939926899995
RXN-10769,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-10773,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-13602,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-13603,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-14179,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-18846,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-21055,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-5341,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-8036,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN-9674,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
RXN18C3-14,DSS_only,TRUE,0.6357579814369689,0.0694936954142805,12,12,3.8347094487445704e-05,0.00442625433238224
3.2.1.21-RXN,DSS_only,TRUE,0.63613817473352,0.069701977775684,12,12,3.8950357700440006e-05,0.00446606029980655
3.4.14.12-RXN,DSS_only,TRUE,0.8472338650726241,0.0955492354055406,12,12,4.6989948739559496e-05,0.004889790921287071
AKBLIG-RXN,DSS_only,TRUE,0.543137462865897,0.0612863820253731,12,12,4.7151960952813e-05,0.004889790921287071
2.4.1.212-RXN,DSS_only,TRUE,0.766447704977562,0.0882890487955314,12,12,5.3904748399609e-05,0.0052085116381793
RXN-11627,DSS_only,TRUE,0.766447704977562,0.0882890487955314,12,12,5.3904748399609e-05,0.0052085116381793
LINOLENOYL-RXN,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
R223-RXN,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-12184,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-12978,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-13290,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-13614,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16380,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16389,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16393,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16401,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16402,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-16418,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
RXN-19751,DSS_only,TRUE,0.866780588887451,0.100591014248142,12,12,5.6556989898001295e-05,0.0052605488291359
