Taxon	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9	6.658008204	6.608502797	5.982770753	3.960665555	5.110382843	3.91525486	6.16852002	4.073110683	6.796494615	3.050639553	6.913744057	5.530923313	7.464293007	3.769184547	2.543866697	4.345960952	6.394987598
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8	5.335747687	5.563539597	4.696089501	3.120189956	3.542110339	1.977479402	4.997146346	2.860175349	5.821041368	1.901630901	5.435559007	4.438290734	5.552006787	3.253695178	3.494624372	3.57402784	5.381777696
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii	9.773670769	10.76229431	8.989989617	10.13569991	10.65343189	9.296674767	10.14383662	10.34943956	11.78587358	9.538646703	11.33780711	10.13947436	11.73072573	9.267260265	9.115228433	10.05185556	11.27245357
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri	10.88161475	13.23624057	10.28848044	10.08444745	10.1263749	8.823398457	12.85702155	9.879436234	14.34621774	8.940329763	12.29981677	12.75731775	11.95500137	8.748067618	8.60585457	10.02880756	12.74044296
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale	10.41788707	11.87518868	9.843775488	11.14305694	11.40476293	9.350688699	11.49214226	10.70198841	12.88133951	9.634405652	12.95176239	10.66864416	12.9755451	10.26534851	9.737209715	10.01392464	12.23754914
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus	7.347724565	8.259878151	6.599362935	8.013428028	8.691438098	7.275142225	7.618999365	8.296112048	9.172825371	7.042825599	8.656945789	7.557181632	9.554170713	7.369253793	7.021536615	7.775825836	8.634232263
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris	8.104714068	9.844332121	9.012221833	11.44262182	14.1176981	11.66122741	10.61644773	12.92479735	11.21769654	13.12033055	10.29554107	9.801609151	9.419077087	10.22036882	11.16592604	10.87735084	10.33021619
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301	6.589989917	8.887805169	8.282663779	10.23867419	11.00849774	11.41752027	9.780208252	9.403402643	9.03051647	11.15210682	7.154628685	8.472760474	8.368592768	9.383789045	8.74517796	10.54484739	9.494929374
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287	5.656214602	7.230412148	6.446669526	7.800448895	8.60337891	8.128284673	7.383937332	7.380703615	7.709468706	7.955913874	6.483993075	6.566110404	6.755583418	6.802756766	5.952589463	7.642135442	7.276150818
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5141	3.841718864	5.446437864	4.594542639	6.719403749	8.891460854	7.2041131	6.179991177	7.711154109	6.669539032	8.095421638	5.461032003	5.186656859	5.282070273	5.647529461	6.086554672	6.47727613	6.005971787
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. M10	3.046807588	4.591500444	3.824318469	5.85542872	7.068445627	6.552283351	5.396482169	5.91573478	5.69632293	6.716103414	4.297088124	4.345263236	4.749253265	5.019043301	4.860826596	5.857598981	5.141447458
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-162	2.920619761	4.758115627	2.810279938	4.682815227	5.741942894	4.784392437	6.737345277	4.880914764	7.909346359	5.496855801	4.744655767	4.068734858	5.400192019	4.843146086	4.076992646	4.594429451	5.958293969
