Sample_ID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE+DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	0.807484	0	0.662933	0.800136	0	10.8844	0	22.3433	3.50394	0.706415	0	2.30425	1.86768	1.27943	0	6.37665
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.04495	0	16.8283	46.9653	4.28481	3.06111	48.7819	6.68046	41.9565	0	3.52348	0	5.27837	15.7844	6.51041	3.41336
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	15.5816	10.6534	10.1164	30.116	9.42944	14.0962	20.5712	23.9273	20.1197	32.9018	14.8715	9.88508	15.6632	19.4174	16.2025	23.0128	15.8713
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.726996	7.7771	0	0	2.02724	0	0.198155	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	31.5299	24.6275	15.6072	30.3477	20.7025	14.0856	24.188	37.7573	27.2517	53.3721	23.3073	42.6232	26.7074	28.8737	16.4472	34.8361	22.8483
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	0	0	0.691023	7.84075	0	0	1.7751	0	0.307357	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	28.2126	20.9132	12.8245	27.7985	27.0065	14.1438	20.9955	46.5347	29.9194	61.9282	19.8441	44.1423	26.9732	26.5302	12.3888	36.1538	20.1171
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	3.6688	0	0	0.840181	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	0	0	0	0.453454	4.81513	0	0	1.09116	0	0.17505	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0.452574	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	0.98612	0	0.603436	0.810926	0	9.47836	0.243965	22.1628	3.32097	0.485249	0	2.93968	2.67119	1.19665	0.230294	4.97935
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.62605	0	11.2152	44.1385	3.01468	5.04754	49.0067	9.71924	49.6897	0	4.03218	0	5.00796	14.0472	4.16062	2.83903
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	6.35213	4.77425	4.22286	6.95582	3.6123	3.46048	4.9331	7.42073	9.80628	5.77737	9.34775	5.10637	12.5147	5.22522	2.67193	8.97069	7.17455
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	0	0	0	0.56264	8.70558	0	0	1.91016	0	0.198521	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0	0	0	0	5.22031	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	0	0	0	0.55112	9.7439	0	0	1.69409	0	0.168913	0	0	0	0	0	0	0
