Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,RCJ_318,RCJ_319,RCJ_322,RCJ_plus_DSS_301,RCJ_plus_DSS_305,RCJ_plus_DSS_313
k__(null)|p__(null)|c__(null)|o__(null)|f__(null)|g__(null)|s__(null),2.750656674,4.554712367,5.318140498,1.213570194,5.768337105,9.341237394,1.901286844,2.8606651,2.091308751,2.277213894,1.569448014,1.441895041
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus reuteri,0.159300369,0.147951627,0.134745611,0,0,0,0,0,0,0.057608526,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter splanchnicus,0,0,0.081185877,0.389312721,0.290460263,0.304360866,0,0.105236612,0.090785552,0.221364285,0.259423397,0.225716505
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__(Odoribacter),0.163009575,0.164146617,0.256136013,1.662821898,1.168019636,1.109562607,0.264861305,0.430649042,0.252462752,0.897423333,1.125202103,0.845777108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__(Odoribacteraceae)|s__(Odoribacteraceae),0.146814595,0.164126039,0.329188383,2.316502008,1.564827659,1.457929809,0.271616081,0.582541444,0.239858649,1.124107069,1.522848829,1.028228068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__(Pseudoflavonifractor)|g__Pseudoflavonifractor|s__(Pseudoflavonifractor),0.096784041,0.067959282,0.078490141,0,0,0.031057546,0,0.054609241,0,0.153929693,0.186520211,0.117881892
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__(Oscillospiraceae)|s__(Oscillospiraceae),0.021905408,0.010680051,0.020115124,0.008308425,0.004069325,0.005993381,0.005051935,0.012542377,0.005694997,0.033331456,0.029735404,0.025594065
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__(Oscillibacter),0.235192474,0.114738521,0.206733062,0.092555338,0.044788294,0.066040371,0.056656778,0.143429641,0.058447025,0.352272175,0.322901797,0.260586168
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__(Muribaculum),0.005844186,0.006363787,0.005036498,0.047077644,0.027862784,0.033115359,0.015721703,0.024359374,0.01565481,0.027302058,0.021761377,0.029699405
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__(Mycoplasma),0,0,0,0.042493863,0.064893124,0.031993851,0,0,0,0,0,0.022260406
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter sp. 1-3,0.366460299,0.171863417,0.326400046,0.179096713,0.075243922,0.124415388,0.093913509,0.219229223,0.094047185,0.496946846,0.592737729,0.400111122
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides chinchillae,0,0,0,0,0,0,0.132394641,0.073674889,0.216332705,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__(Klebsiella),0.000529887,0,0,0,0,0,0.000848848,0.000591622,0.000735668,0.000509309,0.000437285,0.000483586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. CAG:557,0,0,0.101259845,0,0,0,0.464829429,0.777370136,0.444034825,0.159521805,0.525179714,0.200611171
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__(Lactobacillus),0.903034768,0.701446797,0.407215516,0.064049467,0.290100146,0,0.181941669,0.226992327,0.135491533,0.143774377,0.111281407,0
