#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria	92.33682	90.16709	84.11351	100	95.55326	71.84883	95.57618	96.25375	98.32175	89.83313	99.14891	96.03497	96.31113	97.67858	99.47293	99.72368	96.48584
k__Bacteria|p__Actinobacteria	5.25938	4.95542	1.28679	0.65401	1.66626	4.8098	1.8416	11.94485	11.12457	2.3962	8.97753	2.72707	14.11821	0.9945	0.6609	4.23793	3.67653
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.25938	4.95542	1.28679	0.65401	1.66626	4.8098	1.8416	11.94485	11.12457	2.3962	8.97753	2.72707	14.11821	0.9945	0.6609	4.23793	3.67653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	5.19427	4.86843	1.2577	0.63595	1.59844	4.8098	1.46118	11.8378	10.91354	2.34511	8.85079	2.63328	14.11821	0.97009	0.6609	4.20131	3.53104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	5.19427	4.86843	1.2577	0.63595	1.59844	4.8098	1.46118	11.8378	10.91354	2.34511	8.85079	2.63328	14.11821	0.97009	0.6609	4.20131	3.53104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	5.19427	4.86843	1.2577	0.63595	1.59844	4.8098	1.46118	11.8378	10.91354	2.34511	8.85079	2.63328	14.11821	0.97009	0.6609	4.20131	3.53104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	5.19427	4.86843	1.2577	0.63595	1.59844	4.8098	1.46118	11.8378	10.91354	2.34511	8.85079	2.63328	14.11821	0.97009	0.6609	4.20131	3.53104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum|t__GCF_000421365	5.19427	4.86843	1.2577	0.63595	1.59844	4.8098	1.46118	11.8378	10.91354	2.34511	8.85079	2.63328	14.11821	0.97009	0.6609	4.20131	3.53104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.06511	0.08699	0.02909	0.01805	0.06782	0	0.38042	0.10705	0.21103	0.05109	0.12674	0.0938	0	0.02441	0	0.03662	0.1455
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.06511	0.08699	0.02909	0.01805	0.06782	0	0.38042	0.10705	0.21103	0.05109	0.12674	0.0938	0	0.02441	0	0.03662	0.1455
