,clade_name,Start,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ,DSS,Control,DSS,DSS,DSS,Control,Control,Control
0,k__Bacteria,99.42336,99.86185,99.6951,98.8925,99.51907,98.77448,99.68009,97.03959,99.59588,98.36012,99.28293,84.8371,94.66055,99.94366,95.76869,95.7183,98.31652
1,k__Bacteria|p__Actinobacteria,1.03638,2.28472,0.37964,0.6721199999999999,2.84361,0.97788,1.68661,1.14194,2.31184,3.97985,0.47631,3.866530000000001,1.32168,0.58373,0.58906,1.21246,2.15037
2,k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.97904,2.25615,0.37378,0.6384,2.84052,0.93733,1.6636,1.1060299999999998,2.2909599999999997,3.91038,0.38745,3.84735,1.24578,0.54448,0.5767,1.18812,2.1103400000000003
3,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.97904,2.25615,0.37378,0.6384,2.84052,0.93733,1.6636,1.1060299999999998,2.2909599999999997,3.91038,0.38745,3.84735,1.24578,0.54448,0.5767,1.18812,2.1103400000000003
4,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.97904,2.25615,0.37378,0.6384,2.84052,0.93733,1.6636,1.1060299999999998,2.2909599999999997,3.91038,0.38745,3.84735,1.24578,0.54448,0.5767,1.18812,2.1103400000000003
5,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.97904,2.25615,0.37378,0.6384,2.84052,0.93733,1.6636,1.1060299999999998,2.2909599999999997,3.91038,0.38745,3.84735,1.24578,0.54448,0.5767,1.18812,2.1103400000000003
6,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum,0.97904,2.25615,0.37378,0.6384,2.84052,0.93733,1.6636,1.1060299999999998,2.2909599999999997,3.91038,0.38745,3.84735,1.24578,0.54448,0.5767,1.18812,2.1103400000000003
7,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,0.05735,0.0285699999999999,0.00586,0.03372,0.00309,0.04055,0.02302,0.0359,0.02088,0.06947,0.08887,0.01918,0.0759,0.03925,0.01236,0.02434,0.04003
8,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,0.05735,0.0285699999999999,0.00586,0.03372,0.00309,0.04055,0.02302,0.0359,0.02088,0.06947,0.08887,0.01918,0.0759,0.03925,0.01236,0.02434,0.04003
9,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae,0.05735,0.0285699999999999,0.00586,0.03372,0.00309,0.04055,0.02302,0.0359,0.02088,0.06947,0.08887,0.01918,0.0759,0.03925,0.01236,0.02434,0.04003
10,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus,0.05735,0.0285699999999999,0.00586,0.03372,0.00309,0.04055,0.02302,0.0359,0.02088,0.06947,0.08887,0.01918,0.0759,0.03925,0.01236,0.02434,0.04003
11,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris,0.05735,0.0285699999999999,0.00586,0.03372,0.00309,0.04055,0.02302,0.0359,0.02088,0.06947,0.08887,0.01918,0.0759,0.03925,0.01236,0.02434,0.04003
