Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia,3320674,1379217,2170409,2504685,3612809,2647457,2950545,2601051,1360671,2435379,2138644
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia,50852,57965,57039,64147,54787,46159,51490,49036,50886,61367,65221
d__Bacteria|p__Bacteroidetes|c__Cytophagia,32217,21765,29941,36259,35403,40165,33111,32645,24072,37699,37451
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,13225,11229,12919,17045,16174,15031,13858,13088,13376,17709,18215
d__Bacteria|p__Bacteroidetes|c__Chitinophagia,7914,5823,8162,10289,10162,9866,8305,8208,7936,10282,11001
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis,931,556,808,757,830,658,701,910,555,809,920
d__Bacteria|p__Bacteroidetes|c__Saprospiria,753,536,614,976,925,1025,725,799,591,993,994
d__Bacteria|p__Chlorobi|c__Chlorobia,2309,1747,2702,2477,2300,2985,2538,2933,2610,2736,3132
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria,381,464,580,351,372,259,366,501,420,518,659
d__Bacteria|p__Balneolaeota|g__Candidatus Cyclonatronum,175,119,215,179,110,306,236,215,176,209,270
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes,353,261,426,259,268,627,523,536,358,325,400
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria,501,439,419,414,453,730,515,344,275,528,471
d__Bacteria|p__Candidatus Cloacimonetes|g__Candidatus Cloacimonas,51,85,132,64,57,35,77,81,110,111,199
d__Bacteria|p__Firmicutes|c__Clostridia,394786,739872,1297627,264071,183532,272488,289532,547004,983982,585886,890406
d__Bacteria|p__Firmicutes|c__Bacilli,238255,213338,376635,96549,118637,78211,100625,135581,159521,110694,170290
d__Bacteria|p__Firmicutes|c__Erysipelotrichia,7660,12543,23106,27053,4635,18877,28058,18699,22640,42639,32360
d__Bacteria|p__Firmicutes|c__Negativicutes,6002,8562,13307,5585,4405,5638,5939,8702,12367,8520,11873
d__Bacteria|p__Firmicutes|c__Tissierellia,3892,6513,6514,5863,3057,2040,3108,4186,5066,4393,5205
d__Bacteria|p__Firmicutes|g__Ndongobacter,166,181,380,110,87,164,156,250,256,181,252
d__Bacteria|p__Firmicutes|s__endosymbiont 'TC1' of Trimyema compressum,244,298,244,384,198,47,96,139,126,210,216
d__Bacteria|p__Firmicutes|c__Limnochordia,90,132,242,74,77,158,155,179,347,218,325
d__Bacteria|p__Actinobacteria|c__Actinomycetia,719560,526987,374415,60841,599503,162381,141316,284763,124385,113213,233301
d__Bacteria|p__Actinobacteria|c__Coriobacteriia,7538,7624,12764,7283,6073,9891,8618,9976,12651,11651,14532
d__Bacteria|p__Actinobacteria|c__Rubrobacteria,392,370,642,410,414,498,530,851,871,764,933
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia,254,172,264,271,319,208,247,295,286,303,311
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria,195,194,252,205,200,195,213,325,326,295,383
d__Bacteria|p__Actinobacteria|c__Thermoleophilia,124,134,240,112,150,118,119,158,141,171,155
d__Bacteria|p__Cyanobacteria|o__Synechococcales,4190,4969,6380,3313,3549,4278,4732,5173,5061,5250,6066
