Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella,988002,832362,490198,275583,268931,112949,523951,342752,1073290,253330,688135,429464,739625,261786,169666,346231,984143
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum,511374,1452731,274915,328990,269197,88493,1030361,313092,2777904,197093,1175941,1021000,961873,288254,168300,284278,1359413
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus,25028,32815,11983,24786,28388,11995,19415,36732,55869,19559,36038,22140,58799,28082,17158,28996,45532
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,156755,350491,218671,687933,1892271,750788,606841,1437735,930838,2402128,275806,297168,248997,630208,552137,791911,560814
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,118768,117521,76990,160430,266521,232469,166478,221002,160111,398110,251724,437152,128260,183758,61645,190758,181175
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,73834,136288,96991,112453,146365,81375,91650,95347,103020,87379,56645,72870,60230,113622,21486,129965,112638
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,8020,11535,7374,28226,17950,8393,10046,54318,22124,45728,13369,10425,20329,29474,12487,22486,14076
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,4246,6793,3940,6667,6761,4159,5269,8825,11627,5208,6562,5675,7504,7149,2359,6236,8681
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus,28572,34025,15777,156512,141508,100718,63297,242027,175767,202355,63614,22578,33010,103796,57298,108825,83760
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei,20159,22052,13297,120254,114903,82949,44900,183222,124489,153109,41061,12550,15312,83079,45216,88002,57906
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola salanitronis,6589,10514,6055,12008,13236,7369,8623,14164,15805,13161,10043,7600,11717,10933,5165,11909,13548
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola coprophilus,4366,6417,3642,12925,11552,6740,7160,16875,13898,14167,5963,4963,6095,8933,4200,9659,9635
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,55240,72198,29628,200977,75765,51664,130086,187851,213644,144384,79375,55269,95182,95481,46848,118859,117320
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella,7002,9209,4627,8976,8912,4597,6760,11060,14352,8435,8851,8531,11658,8179,4545,8995,13813
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter,6970,6005,8422,46351,36836,28116,11319,26112,11125,41847,7994,14825,10049,34842,38181,29144,11712
