"Control_328"	"Control_330"	"Control_327"	"DSS_334"	"DSS_339"	"RCE_322"	"RCE_318"	"RCE_319"	"RCE_plus_DSS_305"	"RCE_plus_DSS_313"	"RCE_plus_DSS_301"
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	13.7600649732522	12.8758438885877	13.4249674800685	12.2934965996397	12.4761092009945	13.6680914277256	13.3660891651394	12.4348997693214	11.1526612028851	12.1562338496817	11.475428058886
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	14.563505144029	12.041615212525	12.4749545872518	12.5490067836756	12.4775352170721	14.0471182504088	14.1390846314068	13.6841225639946	11.1410040361803	11.8718702810454	11.6143342166862
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	9.09781267834587	7.52917986325123	8.12710676066902	8.82151204768321	9.23437026065565	10.0164437124331	9.11345875526493	8.16187531883378	7.85253872900408	8.58187862037325	8.25896817745266
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	12.5123742291829	11.7114795060234	10.7696604206694	13.6131054982613	15.2907027024701	12.097644168779	12.0472556464416	11.9037573285367	12.8545509561536	13.3496593545273	12.7425719489906
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	10.9364048316866	10.2062520326775	10.369559427703	11.5131599155598	12.4631246364868	11.1408969506114	11.9154771875951	12.4604929846074	9.69312952781829	11.2965000914959	10.965062301611
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	11.1500434172828	10.5391799932169	9.68443397933066	11.0007486887564	11.5986557683437	10.0511012575959	9.7649405596527	9.87703393473735	8.17579635753892	10.743147954925	10.271942868557
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	7.59432460392485	6.83358348350421	6.49613995281667	9.00862258668708	8.57446507321163	8.48682484848048	7.6872411704642	7.08091712127066	7.39641730074041	8.21614139481481	8.3285429163462
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	6.83562937605278	5.94031444137257	5.59277833061136	6.93573668466256	7.17203924463314	7.05587407354709	6.66780002635207	6.21245393941944	5.0285414315736	6.3783941437969	6.29886033571658
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus"	9.1499587669841	7.92413421809733	8.31752557002254	11.4775015992998	11.5499847458359	9.18464303355939	9.9321545797416	8.19004006629709	9.58776264249771	10.4871983214988	10.1415619695033
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei"	8.52565130477974	7.67851950262266	7.81623364514958	11.0974657474146	11.2496289982938	8.07926537582188	9.30138990733697	7.34675162036762	9.2466121202524	10.1810343273589	9.82068533296495
