Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,2167865,3317523,1377008,2498883,3607961,1755595,2910611,3533695,6084229,4297299,2947430,2597585,2643668,2133432,1356236,2430349,3891920
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales,2000,2441,1779,3731,3271,2278,1982,4191,3749,3566,2208,2370,2739,3712,2991,3425,3516
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,57039,50852,57965,64147,54787,43996,48836,72671,65347,66753,51490,49036,46159,65221,50886,61367,65893
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales,29941,32217,21765,36259,35403,21718,25077,41071,48938,37475,33111,32645,40165,37451,24072,37699,47510
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,12919,13225,11229,17045,16174,10950,11393,19676,20600,18209,13858,13088,15031,18215,13376,17709,18178
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales,8162,7914,5823,10289,10162,6305,6554,12872,13093,10762,8305,8208,9866,11001,7936,10282,11619
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae,808,931,556,757,830,520,637,1008,948,926,701,910,658,920,555,809,1082
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales,614,753,536,976,925,602,555,1214,938,1013,725,799,1025,994,591,993,931
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,2702,2309,1747,2477,2300,1715,2008,3551,3800,2925,2538,2933,2985,3132,2610,2736,3736
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales,1284189,388007,728960,256581,178697,266468,383326,325844,286705,616516,284000,538907,268437,879334,973499,577358,352514
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales,8060,3936,6086,4088,2720,3625,3573,4640,3175,5198,3098,4389,2231,6229,5377,4865,3960
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales,1741,1117,2020,1252,732,1152,1029,1568,685,1305,897,1115,570,1300,1313,1182,1194
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales,1133,477,658,519,424,381,484,508,613,796,478,792,479,947,983,668,681
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,258747,178083,120298,35632,76276,27118,70907,93240,82939,87385,45029,63767,35369,76402,60500,37639,63668
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,113863,58221,89983,58250,40972,51869,54987,72275,51765,82537,54027,69418,41735,90709,95462,70483,63411
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,23106,7660,12543,27053,4635,7971,13893,62693,35507,42294,28058,18699,18877,32360,22640,42639,19230
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,7272,3067,4464,3001,2325,2309,2787,3754,2987,4551,3126,4467,3010,6079,6338,4251,3860
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales,3058,1487,2300,1470,1269,1098,1853,1891,1697,2236,1799,2603,1454,3007,2971,2257,2133
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales,2822,1364,1715,1059,758,823,1242,1437,1241,1874,953,1555,1107,2682,2945,1932,1399
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales,5424,3374,5728,5022,2724,4295,3372,5885,2712,4829,2737,3655,1815,4572,4240,3834,3399
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales,258408,643739,470891,13995,542155,806611,99842,237376,92413,439959,53549,203439,77928,141238,47790,26523,106526
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales,46131,28943,12741,8170,16089,27522,10051,70617,54075,26223,38610,19150,34435,16611,13358,25259,20024
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales,19638,14134,12131,11621,12395,8355,11469,15537,18437,18966,15147,17723,16275,20343,16329,17111,20186
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales,19062,11885,11478,9518,10482,8189,10408,12913,13548,20884,11982,15954,11949,20177,17194,15578,15260
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales,5986,4039,4065,3368,3874,2507,3886,4451,4778,6256,4612,5355,4455,6504,5280,5304,5519
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales,4546,3002,2885,2175,2270,1739,2456,3054,4045,3923,2756,3614,2872,4712,4082,3590,4007
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales,3736,2526,2319,2060,2190,1654,2146,2982,3367,4110,2870,3557,2626,3889,3295,3441,3859
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales,3659,2333,2423,2037,2327,1528,2219,2459,2972,4015,2439,3350,2354,4062,3422,3545,3113
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales,1845,1156,1046,963,1007,827,1075,1361,1560,2163,1385,1780,1288,2201,1790,1767,1581
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,7737,4731,4531,4642,3946,2952,5446,7350,6522,8889,4954,5874,4845,8033,6761,5734,6562
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,4816,2691,2908,2537,2034,2037,2606,4999,6491,5610,3501,3933,4901,6185,5596,5686,3136
d__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales,642,392,370,410,414,317,400,691,794,882,530,851,498,933,871,764,691
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae,3740,2824,2705,2142,2441,1676,2337,2973,3353,3569,2974,3211,2914,4115,3196,3461,3498
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae,2828,1379,2764,1017,1006,1086,1696,1470,1329,1760,1859,1687,1286,1784,1737,1707,2074
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae,1290,606,1124,508,608,546,743,674,670,909,862,829,513,1124,870,884,900
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales,5570,3967,7614,4900,3279,4518,5068,5795,2673,4524,4406,4250,1998,3801,4020,4288,4648
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales,3423,2297,4931,2923,1355,2662,3010,3464,1599,2795,2703,2485,1196,1988,2501,2442,2791
