Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes,2302672,3456995,1495427,2676658,3772683,1869752,3031343,3733618,6287350,4479191,3087659,2732162,2791926,2310057,1482323,2601606,4084826
d__Bacteria|p__Chlorobi,2702,2309,1747,2477,2300,1715,2008,3551,3800,2925,2538,2933,2985,3132,2610,2736,3736
d__Bacteria|p__Firmicutes,1759088,665817,1006933,414828,323258,385176,555442,599253,485030,878763,439017,734406,387463,1138772,1216709,772719,534163
d__Bacteria|p__Actinobacteria,389732,728833,536203,69879,607276,870506,160454,374736,221041,557621,151917,297545,174281,251060,139964,127564,202935
d__Bacteria|p__Cyanobacteria,17881,10431,15745,8817,8330,8053,10861,11793,11332,13628,12543,12958,9805,15092,13158,12772,14175
d__Bacteria|p__Tenericutes,10423,7656,14260,9983,5370,9082,9330,13250,5005,10381,8411,8759,3972,7414,10821,8952,8969
d__Bacteria|p__Deinococcus-Thermus,3356,2160,2022,2101,2191,1541,1947,2500,2591,3550,2050,2737,2403,4208,3614,3389,3012
d__Bacteria|p__Chloroflexi,3097,1862,1927,1681,1579,1525,1738,2609,2289,2936,1779,2798,2005,3237,2887,2646,2530
d__Bacteria|p__Proteobacteria,1024832,1372253,1021009,764340,700722,450206,1057568,993399,768739,1377057,1070091,875230,691117,931085,1264406,854863,1044428
d__Bacteria|p__Spirochaetes,72192,40831,48064,48091,17248,15926,22942,15244,14197,61831,29472,23572,10293,44860,40848,46790,28076
d__Bacteria|p__Planctomycetes,7755,5929,5375,4790,5176,3680,5006,6344,7851,7054,5714,6738,6586,7344,5809,6730,8005
d__Bacteria|p__Verrucomicrobia,4214,4723,3329,5741,5525,3043,3622,6722,6715,5277,4857,5385,5587,6378,3776,6268,6361
d__Bacteria|p__Chlamydiae,942,659,1074,565,550,458,727,631,581,674,701,748,375,930,887,866,708
d__Bacteria|p__Fusobacteria,8324,5451,10355,6695,3281,5994,5567,7542,3723,6165,5345,5442,2535,6186,5794,5397,5748
d__Bacteria|p__Thermotogae,3071,1622,2489,2021,1317,1663,1718,3044,2257,2602,2021,2259,1506,2897,2395,2378,2209
d__Bacteria|p__Acidobacteria,2459,2157,1832,1865,2137,1466,1799,2358,2548,2504,1970,2549,2031,2774,1785,2616,2702
d__Bacteria|p__Synergistetes,2284,1165,1321,788,727,722,1027,1184,1361,1993,1008,1368,980,2498,2399,1652,1305
d__Bacteria|p__Deferribacteres,1280,860,2163,808,643,873,1111,833,1016,1259,1532,2052,630,3064,2353,1282,1243
d__Bacteria|p__Aquificae,869,564,1232,621,408,561,578,677,534,930,629,839,367,1259,1222,855,682
d__Bacteria|p__Candidatus Saccharibacteria,510,1282,537,1220,1268,2611,1265,3403,1737,3304,672,1990,445,2361,320,2658,1410
d__Eukaryota|k__Metazoa,776656,1454624,1532525,46187,1192949,1567207,525243,453488,250052,1043675,441089,485311,230554,361101,131356,181101,481277
d__Archaea|p__Euryarchaeota,9466,5626,9781,4619,3973,3517,5972,5456,5523,6438,5989,5569,4257,6516,5622,6086,6921
d__Archaea|p__Crenarchaeota,1567,878,2269,514,464,570,1156,658,685,787,1139,713,496,798,547,868,1148
d__Viruses|p__Uroviricota,2163,978,1922,636,603,694,1082,1107,874,1076,924,972,592,925,838,856,1155
d__Viruses|k__Pararnavirae,1291,3329,2438,6,2644,3584,340,925,184,2212,209,767,227,542,136,42,415
d__Viruses|k__Bamfordvirae,1066,689,1986,162,139,226,1309,207,529,385,988,602,404,268,224,457,831
