Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9,15458,10373,7772,1403,2309,1098,7041,1856,10682,1089,10702,5346,13752,2159,643,2570,9553
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8,6089,4972,3112,741,733,229,3071,734,5385,409,3784,2444,3596,1459,1367,1450,4675
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii,135172,186442,63367,108236,110799,48940,112207,152830,342300,111016,231574,133184,266090,105127,73672,140951,284066
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri,291526,1036289,156047,104455,76870,35231,736369,110305,2019526,73278,451196,818133,310857,73302,51717,138715,786032
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale,211346,403360,114620,217676,186560,50810,285847,195168,731544,118645,709009,192250,630711,210146,113452,137290,554661
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus,25028,32815,11983,24786,28388,11995,19415,36732,55869,19559,36038,22140,58799,28082,17158,28996,45532
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris,42403,98625,64353,267932,1223571,252361,155739,911477,230839,1330808,112398,105352,53536,203690,305646,249888,147780
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301,14739,50769,38761,116251,141736,213125,87186,79271,50612,340000,12663,41868,25807,113985,56974,198423,82776
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287,7642,16021,10767,21371,26703,21731,16481,19420,20199,36963,7922,11080,8384,18907,8109,26418,17692
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5141,2062,4576,2892,10051,32620,11415,7098,24449,9774,40731,3853,4186,2969,8395,8911,11709,7268
