Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia,2170409,3320674,1379217,2504685,3612809,1758976,2913260,3539722,6089639,4302555,2950545,2601051,2647457,2138644,1360671,2435379,3896769
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia,57039,50852,57965,64147,54787,43996,48836,72671,65347,66753,51490,49036,46159,65221,50886,61367,65893
d__Bacteria|p__Bacteroidetes|c__Cytophagia,29941,32217,21765,36259,35403,21718,25077,41071,48938,37475,33111,32645,40165,37451,24072,37699,47510
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,12919,13225,11229,17045,16174,10950,11393,19676,20600,18209,13858,13088,15031,18215,13376,17709,18178
d__Bacteria|p__Bacteroidetes|c__Chitinophagia,8162,7914,5823,10289,10162,6305,6554,12872,13093,10762,8305,8208,9866,11001,7936,10282,11619
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis,808,931,556,757,830,520,637,1008,948,926,701,910,658,920,555,809,1082
d__Bacteria|p__Bacteroidetes|c__Saprospiria,614,753,536,976,925,602,555,1214,938,1013,725,799,1025,994,591,993,931
d__Bacteria|p__Chlorobi|c__Chlorobia,2702,2309,1747,2477,2300,1715,2008,3551,3800,2925,2538,2933,2985,3132,2610,2736,3736
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria,580,381,464,351,372,309,378,349,491,390,366,501,259,659,420,518,498
d__Bacteria|p__Balneolaeota|g__Candidatus Cyclonatronum,215,175,119,179,110,101,166,261,316,242,236,215,306,270,176,209,252
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes,426,353,261,259,268,233,273,415,524,455,523,536,627,400,358,325,593
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria,419,501,439,414,453,292,376,331,356,363,515,344,730,471,275,528,428
d__Bacteria|p__Candidatus Cloacimonetes|g__Candidatus Cloacimonas,132,51,85,64,57,40,69,111,62,170,77,81,35,199,110,111,75
d__Bacteria|p__Firmicutes|c__Clostridia,1297627,394786,739872,264071,183532,273031,389563,334750,292057,626129,289532,547004,272488,890406,983982,585886,359515
d__Bacteria|p__Firmicutes|c__Bacilli,376635,238255,213338,96549,118637,81287,127688,169088,136453,173156,100625,135581,78211,170290,159521,110694,129031
d__Bacteria|p__Firmicutes|c__Erysipelotrichia,23106,7660,12543,27053,4635,7971,13893,62693,35507,42294,28058,18699,18877,32360,22640,42639,19230
d__Bacteria|p__Firmicutes|c__Negativicutes,13307,6002,8562,5585,4405,4269,5955,7195,6007,8795,5939,8702,5638,11873,12367,8520,7470
d__Bacteria|p__Firmicutes|c__Tissierellia,6514,3892,6513,5863,3057,5050,3799,6846,3029,5612,3108,4186,2040,5205,5066,4393,3864
d__Bacteria|p__Firmicutes|g__Ndongobacter,380,166,181,110,87,74,124,154,162,184,156,250,164,252,256,181,177
d__Bacteria|p__Firmicutes|s__endosymbiont 'TC1' of Trimyema compressum,244,244,298,384,198,354,141,373,97,235,96,139,47,216,126,210,181
d__Bacteria|p__Firmicutes|c__Limnochordia,242,90,132,74,77,52,123,95,125,280,155,179,158,325,347,218,114
d__Bacteria|p__Actinobacteria|c__Actinomycetia,374415,719560,526987,60841,599503,864203,150624,359825,205092,539632,141316,284763,162381,233301,124385,113213,190344
d__Bacteria|p__Actinobacteria|c__Coriobacteriia,12764,7538,7624,7283,6073,5060,8206,12522,13218,14737,8618,9976,9891,14532,12651,11651,9853
d__Bacteria|p__Actinobacteria|c__Rubrobacteria,642,392,370,410,414,317,400,691,794,882,530,851,498,933,871,764,691
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia,264,254,172,271,319,198,207,268,246,371,247,295,208,311,286,303,336
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria,252,195,194,205,200,162,161,280,242,379,213,325,195,383,326,295,275
d__Bacteria|p__Actinobacteria|c__Thermoleophilia,240,124,134,112,150,83,95,115,135,206,119,158,118,155,141,171,181
d__Bacteria|p__Cyanobacteria|o__Synechococcales,6380,4190,4969,3313,3549,2674,3769,4342,4961,5549,4732,5173,4278,6066,5061,5250,5463
d__Bacteria|p__Cyanobacteria|o__Nostocales,6360,3313,5809,2679,2348,2740,3731,3641,3135,3993,4137,3892,2774,4320,3905,3826,4476
d__Bacteria|p__Cyanobacteria|o__Chroococcales,1887,1229,2181,1135,857,1003,1425,1436,1277,1523,1621,1472,995,1645,1575,1343,1685
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales,1714,823,1450,761,690,662,973,997,859,1240,924,1145,745,1328,1363,1000,1200
d__Bacteria|p__Cyanobacteria|o__Pleurocapsales,294,159,304,100,74,162,182,215,228,190,260,211,280,258,251,191,201
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria,249,142,160,143,274,130,149,250,221,167,163,216,241,218,192,224,301
d__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales,206,122,98,142,116,105,120,309,135,162,117,150,110,269,140,196,170
d__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales,80,48,86,42,22,24,53,50,65,90,84,109,84,91,81,39,87
d__Bacteria|p__Tenericutes|c__Mollicutes,10275,7514,14108,9794,5315,8923,9219,12869,4898,10112,8203,8547,3750,7239,10476,8795,8790
d__Bacteria|p__Tenericutes|g__Candidatus Izimaplasma,135,133,150,179,53,152,108,370,102,250,206,199,221,169,332,150,175
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci,3356,2160,2022,2101,2191,1541,1947,2500,2591,3550,2050,2737,2403,4208,3614,3389,3012
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia,1150,529,679,560,473,542,527,783,692,895,457,746,620,1143,903,939,603
d__Bacteria|p__Chloroflexi|c__Anaerolineae,622,343,453,298,200,320,409,499,428,577,349,558,329,536,557,392,462
d__Bacteria|p__Chloroflexi|c__Chloroflexia,465,351,270,249,357,238,281,420,420,387,275,550,355,467,429,389,447
d__Bacteria|p__Chloroflexi|c__Caldilineae,193,119,108,90,63,49,93,108,103,142,125,195,133,166,159,129,177
d__Bacteria|p__Chloroflexi|c__Tepidiformia,172,182,93,106,142,169,134,313,261,359,223,231,203,310,220,211,363
d__Bacteria|p__Chloroflexi|c__Ardenticatenia,171,124,104,120,155,42,90,139,193,154,161,206,176,213,224,221,226
d__Bacteria|p__Chloroflexi|c__Thermomicrobia,145,103,109,112,62,60,98,109,109,200,111,170,129,174,215,159,139
d__Bacteria|p__Chloroflexi|c__Ktedonobacteria,113,71,75,71,69,71,65,120,58,113,58,89,38,162,124,127,61
d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia,186,234,181,271,285,161,182,257,156,330,98,181,45,267,140,279,214
d__Bacteria|p__Armatimonadetes|c__Chthonomonadetes,89,67,66,62,34,19,40,92,76,101,68,78,57,56,67,54,82
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,583542,932432,718428,454057,135000,209399,771400,375057,211133,803040,508305,452595,155545,454583,930133,283295,527570
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,33435,18210,22103,24655,16067,15518,21560,25730,32122,33044,36152,37189,26103,54026,51233,41820,31058
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,151252,125758,134513,103784,427469,99007,96724,175005,121850,152961,106823,120281,94102,147261,113346,120368,134656
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria,146466,213333,70181,108517,49493,73435,95777,321754,296207,275468,327757,159808,323666,151335,73588,306794,237060
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,80670,58583,54840,51743,52225,37685,50877,69024,75024,81747,64697,75270,66133,88423,67431,73270,81050
d__Bacteria|p__Proteobacteria|c__Oligoflexia,1030,652,1132,654,465,537,706,869,736,949,686,733,515,1078,870,766,917
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia,592,594,526,461,569,372,451,650,491,654,363,553,327,688,424,709,550
d__Bacteria|p__Proteobacteria|c__Zetaproteobacteria,269,202,151,181,182,125,149,306,285,262,136,195,196,299,182,217,249
d__Bacteria|p__Spirochaetes|c__Spirochaetia,72192,40831,48064,48091,17248,15926,22942,15244,14197,61831,29472,23572,10293,44860,40848,46790,28076
d__Bacteria|p__Planctomycetes|c__Planctomycetia,6355,5074,4489,4167,4607,3257,4254,5474,6341,6116,4659,5736,5472,6332,5014,5808,6690
d__Bacteria|p__Planctomycetes|c__Phycisphaerae,1225,752,720,562,507,359,667,805,1407,845,946,924,954,913,718,810,1188
d__Bacteria|p__Planctomycetes|c__Candidatus Brocadiae,157,81,153,56,44,53,75,59,77,86,102,58,139,89,61,91,107
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,2762,3009,2059,4170,3816,1930,2376,5029,4695,3489,3549,3782,4061,4441,2733,4462,4193
d__Bacteria|p__Verrucomicrobia|c__Opitutae,1206,1495,1086,1377,1532,933,1048,1391,1782,1486,1085,1349,1285,1584,769,1536,1867
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae,133,110,96,47,63,66,87,100,82,103,92,101,80,121,153,100,142
d__Bacteria|p__Verrucomicrobia|g__Methylacidimicrobium,84,71,55,77,54,55,70,99,74,80,86,106,126,125,73,74,102
d__Bacteria|p__Chlamydiae|c__Chlamydiia,942,659,1074,565,550,458,727,631,581,674,701,748,375,930,887,866,708
d__Bacteria|p__Candidatus Omnitrophica|g__Candidatus Vampirococcus,195,39,77,41,57,61,67,85,62,83,31,82,30,157,142,68,57
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae,172,103,80,148,38,33,99,73,266,107,167,162,134,148,121,155,212
d__Bacteria|p__Fusobacteria|c__Fusobacteriia,8324,5451,10355,6695,3281,5994,5567,7542,3723,6165,5345,5442,2535,6186,5794,5397,5748
