Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae,2357101,791590,1554971,655376,591099,1814104,1945380,1498974,370171,688510,599530
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,350491,218671,156755,687933,1892271,248997,275806,297168,552137,791911,630208
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,117521,76990,118768,160430,266521,128260,251724,437152,61645,190758,183758
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,156199,109480,86973,149021,173020,89047,77426,89976,36771,160583,152188
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola,77960,41618,66084,339384,314026,70085,132893,49805,125581,242962,230471
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,81697,34402,62405,210154,84949,107102,88416,63945,51461,128111,103897
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,14855,16107,13754,92934,74320,22109,17680,27115,63093,51734,63754
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,18287,8540,13237,19049,19345,25482,21134,14834,8466,18074,16036
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,10946,5296,8404,11012,11707,15902,10544,8528,7172,11101,12113
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae,6734,3404,5127,7278,6577,8975,6882,5966,4001,7061,6953
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae,889,585,858,1538,1119,1094,968,894,862,1257,1309
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae,508,393,474,772,742,442,307,477,403,837,690
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae,592,327,471,713,648,902,638,557,522,877,726
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae,1098,793,1031,1578,1432,1251,972,1156,1384,1501,1619
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae,919,553,649,1227,1107,1093,817,724,889,1170,1264
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae,419,431,316,901,705,383,413,486,688,739,808
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,32870,37018,36791,40178,35027,29520,32488,31837,32072,39424,41666
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae,13951,16186,15377,17350,14801,12892,14620,12807,13917,16305,17682
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae,1725,2655,2332,2196,1499,1204,1986,1708,1779,1972,2171
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae,582,460,545,928,888,644,588,775,720,861,913
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Crocinitomicaceae,257,227,200,211,223,117,153,120,82,245,186
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|g__Candidatus Sulcia,104,168,120,169,53,63,154,74,49,105,85
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Ichthyobacteriaceae,74,77,70,146,122,58,54,63,63,100,106
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae,17273,10202,15598,17861,18045,23380,18451,17475,11498,19050,18895
