Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	25.38545388	31.30721757	14.34078045	17.3483709	9.274125476	4.471783721	30.79140972	12.28074177	51.40964864	6.043656908	38.58806765	30.22571682	44.21694309	12.55138588	9.072049282	15.82618618	39.98035004
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.559081052	4.655251511	3.961536657	18.21018292	29.68903464	14.9992698	11.69574086	24.29090596	12.02746668	29.56785109	5.470818342	5.99217586	6.069049061	13.19364134	13.53162207	18.20297588	9.160409333
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.938929785	1.560923998	1.394783521	4.246721186	4.181616271	4.644274085	3.208556356	3.733886146	2.068812959	4.900345527	4.993133856	8.814851066	3.126207274	3.847042794	1.510778743	4.384789796	2.959336181
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.419865117	2.07464851	1.983386152	3.944715065	2.714620038	1.900350754	2.085837237	2.714240338	1.79015615	1.722192469	1.535802633	1.814300379	2.170430213	3.186112979	0.901173577	3.691183069	2.234819467
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola	1.078844772	1.035471404	0.753969354	8.983788712	4.926952214	4.413447855	2.624444837	8.688302736	4.748717224	5.285999556	2.636032073	1.00428148	1.708250716	4.824997006	3.077704685	5.584758167	2.970819075
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.01878379	1.085106558	0.623241235	5.562958575	1.332818504	1.127060909	2.641328121	3.36599187	2.949942688	1.88485622	1.753797504	1.289404261	2.610502506	2.175122744	1.261192066	2.944777182	2.147676878
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.224538935	0.197305384	0.291801249	2.46004355	1.166053411	1.037279615	0.43568895	0.991650363	0.324565537	1.000465158	0.350696026	0.546754188	0.538884427	1.334713952	1.546265929	1.189164886	0.482853246
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.216098727	0.242889502	0.154714265	0.504243545	0.303515921	0.162201675	0.23931477	0.41499826	0.388602593	0.202311118	0.4192087	0.299116785	0.621097877	0.335719687	0.207482405	0.415451466	0.448714912
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.137198285	0.14538571	0.095944584	0.291497187	0.183678516	0.113714982	0.149925875	0.238459693	0.248641054	0.130475654	0.209148128	0.171960897	0.387595104	0.253590208	0.175769408	0.255169123	0.259533007
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae	0.083700096	0.089441565	0.061668309	0.19265497	0.103190706	0.07639601	0.092395507	0.150790191	0.132751556	0.083024367	0.136509618	0.120300036	0.218756512	0.145563668	0.09805541	0.162305124	0.153508163
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae	0.014007155	0.011807774	0.010598108	0.040712193	0.017556698	0.01332535	0.015264339	0.027083101	0.019820993	0.017232634	0.019201004	0.018026858	0.026665139	0.027404407	0.021125659	0.028893576	0.020907688
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae	0.007738218	0.0067473	0.007119755	0.020435509	0.011641707	0.009269809	0.008171818	0.013313465	0.008579622	0.008887115	0.006089575	0.009618357	0.010773301	0.014445409	0.009876613	0.019239398	0.009996488
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae	0.007689242	0.007862995	0.005924071	0.018873728	0.010166881	0.009929084	0.007516531	0.018162404	0.017146322	0.008111647	0.012655207	0.011231499	0.021985334	0.015199083	0.012793033	0.020158843	0.017118169
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae	0.016831441	0.01458373	0.014366325	0.041771028	0.022467552	0.019278805	0.017769849	0.026559348	0.023361379	0.019325168	0.019280347	0.023309896	0.030491855	0.033894373	0.033918692	0.034502194	0.025530247
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae	0.010595156	0.012206237	0.010018383	0.032479754	0.017368422	0.014204384	0.012527551	0.030783163	0.01920078	0.014573884	0.016205806	0.014598932	0.026640765	0.026462315	0.021787368	0.026893782	0.023831497
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae	0.005158812	0.005565194	0.007808179	0.023850251	0.01106119	0.011687151	0.007824901	0.013313465	0.005814503	0.009773365	0.008192164	0.009799835	0.009335236	0.016915784	0.016861315	0.016986756	0.007824049
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.600626143	0.436582158	0.670633801	1.063546493	0.549560722	0.559025407	0.598816937	0.776675081	0.549509262	0.516892843	0.644423784	0.641969872	0.719520027	0.87229337	0.786011774	0.906205522	0.695490963
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	0.251034987	0.185298378	0.293232447	0.459269542	0.232222235	0.232224692	0.25739299	0.333867224	0.226029099	0.223901146	0.289998637	0.258243809	0.31422941	0.370179316	0.341074017	0.374788987	0.29208693
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae	0.038070728	0.022911598	0.048099107	0.058130024	0.023518758	0.032624133	0.041186733	0.041106166	0.023606881	0.029209314	0.039393796	0.034440574	0.029346278	0.045450701	0.043599244	0.045328665	0.035461398
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae	0.008897319	0.007730174	0.008333555	0.024564965	0.013932393	0.012186602	0.010022041	0.013465522	0.013063249	0.011410465	0.01166342	0.015627309	0.015696846	0.019113998	0.017645562	0.019791065	0.014994732
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Crocinitomicaceae	0.003265071	0.003413496	0.004112428	0.005585353	0.003498788	0.00305664	0.004047363	0.004730673	0.002377486	0.003003402	0.003034869	0.002419712	0.002851756	0.00389398	0.002009633	0.005631604	0.004001862
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|g__Candidatus Sulcia	0.001959043	0.001381337	0.003043559	0.004473577	0.00083155	0.00315653	0.002640422	0.002703242	0.001007847	0.001120121	0.003054705	0.001492156	0.001535561	0.001779507	0.001200879	0.002413545	0.002368449
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Ichthyobacteriaceae	0.001142775	0.000982874	0.001394965	0.003864747	0.001914135	0.002157628	0.000809473	0.002263965	0.001111216	0.001329375	0.00107113	0.001270349	0.001413691	0.00221915	0.001543987	0.002298614	0.000996382
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae	0.25464289	0.229421467	0.184823763	0.472796155	0.2831194	0.202277616	0.247313129	0.350137358	0.351015064	0.222941042	0.365989388	0.352370623	0.569863762	0.395573927	0.281789829	0.437885937	0.43466756
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	0.131647664	0.110626492	0.101017183	0.256661526	0.145427194	0.116372061	0.1277232	0.179360075	0.164550425	0.128986262	0.168742709	0.174199131	0.246835343	0.205857551	0.165623209	0.234021875	0.197022288
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	0.046102803	0.037096865	0.044349007	0.097465732	0.052591645	0.050404585	0.04691086	0.074035027	0.052563104	0.05082396	0.055183051	0.05831507	0.072049499	0.083636826	0.072959499	0.081830653	0.062641392
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae	0.013941853	0.013893062	0.011648861	0.034888603	0.019925832	0.016362012	0.015418524	0.02373784	0.020699629	0.015460134	0.025032714	0.02280579	0.037462814	0.02395007	0.018576856	0.02696274	0.026902314
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae	0.013794925	0.009310742	0.016232316	0.023426717	0.010684639	0.010668271	0.011737352	0.012772816	0.01249472	0.009896455	0.01007656	0.011533963	0.010188326	0.01530376	0.009312936	0.018365925	0.013818675
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Bernardetiaceae	0.004685377	0.006003503	0.008931397	0.013579555	0.008393953	0.00783139	0.007150341	0.007788715	0.002855567	0.005108245	0.00396715	0.005182217	0.00348548	0.00973495	0.004754499	0.012573418	0.005292258
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae	0.004522123	0.003240829	0.005072599	0.014373681	0.007327058	0.005993411	0.004972474	0.004967206	0.002287038	0.004517412	0.002915855	0.005988788	0.003022374	0.009902433	0.005881854	0.010826471	0.004393881
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Roseivirgaceae	0.004162966	0.003453342	0.006648728	0.006247125	0.0042362	0.004355212	0.005724127	0.005068578	0.002416249	0.003446527	0.002896019	0.004738604	0.00251052	0.005673487	0.002989943	0.007355564	0.004540888
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Marivirgaceae	0.004032363	0.003772112	0.007391501	0.005744178	0.003514477	0.003636003	0.005088113	0.003210099	0.0020803	0.002781839	0.003887807	0.004234497	0.003217366	0.005108232	0.002205695	0.006160285	0.003822187
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.210907264	0.175655584	0.20342933	0.451195927	0.253764099	0.218759496	0.219579059	0.332431126	0.26617501	0.224135017	0.274883797	0.263909969	0.366365364	0.381337871	0.327815337	0.407061526	0.296921833
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae	0.133247549	0.105114426	0.10549194	0.27235875	0.159438035	0.125961518	0.12631626	0.217475781	0.169176184	0.132469716	0.164735888	0.16550833	0.240473733	0.23031007	0.19449331	0.236343475	0.189786268
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae|g__Rhodothermus	0.008227979	0.008673202	0.006956707	0.011806007	0.008896021	0.007391873	0.008152545	0.010525747	0.007261668	0.007200779	0.009302966	0.012642997	0.008604017	0.011284168	0.007744441	0.011952792	0.011352221
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae|g__Salinibacter	0.004897607	0.003639291	0.003061676	0.00823244	0.004126373	0.002996705	0.004047363	0.006437094	0.004910024	0.004111214	0.004562222	0.005504846	0.007385317	0.007892637	0.005783823	0.006459105	0.00620697
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae	0.007068879	0.007637199	0.007155988	0.020250213	0.011092569	0.009409655	0.007901994	0.017081107	0.008553779	0.008887115	0.011346048	0.012078398	0.01981605	0.017104202	0.009901121	0.018044119	0.010682522
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae	0.002954889	0.002364211	0.002536299	0.005585353	0.00340465	0.002617123	0.002775334	0.003429738	0.003553307	0.003581926	0.003034869	0.004032854	0.005167285	0.003705562	0.004582945	0.004758131	0.004524554
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	0.04411111	0.030668336	0.031649394	0.065568337	0.036086152	0.034262332	0.038700496	0.059995067	0.049100244	0.036003895	0.050343129	0.059141805	0.072756344	0.065569597	0.063965164	0.062890075	0.061024313
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae	0.006170984	0.003240829	0.005905954	0.006167712	0.004393097	0.004035563	0.004490645	0.003767643	0.002390407	0.002289478	0.003887807	0.004778932	0.001974293	0.007662348	0.004558437	0.006803897	0.004328545
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Melioribacteraceae	0.003297722	0.001819646	0.002500067	0.003123562	0.001443446	0.00213765	0.002794608	0.002128803	0.003953862	0.002511041	0.003372077	0.005303203	0.004338569	0.006134065	0.005734808	0.005102923	0.003805853
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0.006954601	0.004688576	0.004728387	0.006855955	0.004204821	0.004654882	0.005261571	0.007011533	0.006770665	0.005600606	0.010374096	0.010808049	0.015282488	0.00837415	0.008773766	0.007470495	0.00968614
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0.006840324	0.006654325	0.00795311	0.010958939	0.007107403	0.005833587	0.007246706	0.005592331	0.004599918	0.004468176	0.01021541	0.006936509	0.017793009	0.009860562	0.006739625	0.012136681	0.006991008
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	12.54332545	2.573683035	7.049245695	2.707625569	0.97666387	2.107762726	3.586021103	1.892488706	1.735654879	3.222096274	2.897903619	5.611212302	3.541832461	8.830981174	11.90362288	6.119599637	2.803181889
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	4.558006517	1.294604896	2.934117992	1.48970098	0.924888086	1.202577886	1.964358539	1.318252625	0.977908896	2.148675531	1.202264528	2.804527363	1.392924476	5.368835265	6.655783603	4.013954425	1.41440507
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.124376188	0.464248743	1.39458424	1.20421268	0.314012284	0.811927367	0.662823086	1.056122673	0.306023734	0.632597668	0.559407768	0.765516356	0.511000589	0.999350166	1.280479646	0.961671074	0.556536511
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Flintibacter	0.28543251	0.098008511	0.187504993	0.097942208	0.069050068	0.113355377	0.1710878	0.099090697	0.089297839	0.186789439	0.082913427	0.212672558	0.106879923	0.644663028	0.768586782	0.289924164	0.118585791
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Massilistercora	0.265727806	0.059012307	0.153917142	0.075309616	0.024240481	0.053561115	0.080831614	0.048455604	0.040585228	0.098792226	0.069127582	0.115238804	0.074096913	0.240024084	0.322595192	0.168189575	0.063213087
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Intestinimonas	0.23833386	0.07406091	0.154822964	0.069274259	0.045044932	0.076755615	0.143777739	0.072582035	0.078573312	0.151684102	0.066509263	0.167847386	0.083456524	0.362893805	0.438100102	0.227608743	0.096420375
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XIII. Incertae Sedis	0.075227237	0.020972413	0.053896363	0.047885798	0.023612895	0.031465407	0.038103028	0.038115705	0.021901293	0.037997957	0.027948569	0.049846076	0.03156431	0.081689837	0.10538322	0.063832506	0.029336099
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Monoglobus	0.022937124	0.005631604	0.015598241	0.013288375	0.007891885	0.008510643	0.008480188	0.01204632	0.005103841	0.009490257	0.007597092	0.013167268	0.007897171	0.022735818	0.024042079	0.019814051	0.007464698
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVII. Incertae Sedis	0.014284686	0.005392527	0.008079925	0.007464784	0.004424476	0.005034465	0.008191091	0.006673628	0.006240899	0.010770396	0.006585468	0.011110513	0.0102127	0.019595512	0.020267889	0.01464217	0.009130779
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVI. Incertae Sedis	0.004783329	0.001939185	0.004293593	0.003388271	0.001537584	0.001418441	0.003025885	0.002078117	0.003269043	0.002868003	0.002816676	0.003367433	0.003046748	0.005610681	0.00656807	0.004321394	0.003903857
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	0.385898746	0.17875031	0.319265749	0.485978646	0.166796472	0.486704917	0.173805315	0.505827175	0.145039538	0.515206507	0.270638947	0.273326683	0.284298157	0.509085534	0.555565631	0.402969993	0.195535882
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.259099712	0.066808891	0.161254294	0.095745126	0.040369422	0.068205015	0.087750676	0.071517634	0.051645705	0.089905111	0.070377234	0.131067757	0.08331028	0.192542652	0.29416623	0.149961567	0.077848468
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	0.181766505	0.056116812	0.129079524	0.101224595	0.043978037	0.072100732	0.083876772	0.085473118	0.047614316	0.083898307	0.075137814	0.122981884	0.076436816	0.18159345	0.230446144	0.141962391	0.07734211
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.075733323	0.02203498	0.04012788	0.036000379	0.017823421	0.023833797	0.028774821	0.029769447	0.019071569	0.034440649	0.026163352	0.052769895	0.033928587	0.082317898	0.107196792	0.063901465	0.027833359
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Vallitaleaceae	0.013941853	0.004290114	0.013406154	0.008205969	0.00254172	0.00579363	0.005280845	0.006690523	0.002416249	0.005514443	0.004403536	0.00689618	0.004533561	0.012938062	0.016150591	0.008481885	0.004671561
