Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella,832362,490198,988002,275583,268931,739625,688135,429464,169666,346231,261786
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum,1452731,274915,511374,328990,269197,961873,1175941,1021000,168300,284278,288254
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus,32815,11983,25028,24786,28388,58799,36038,22140,17158,28996,28082
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,350491,218671,156755,687933,1892271,248997,275806,297168,552137,791911,630208
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,117521,76990,118768,160430,266521,128260,251724,437152,61645,190758,183758
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,136288,96991,73834,112453,146365,60230,56645,72870,21486,129965,113622
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,11535,7374,8020,28226,17950,20329,13369,10425,12487,22486,29474
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,6793,3940,4246,6667,6761,7504,6562,5675,2359,6236,7149
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus,34025,15777,28572,156512,141508,33010,63614,22578,57298,108825,103796
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei,22052,13297,20159,120254,114903,15312,41061,12550,45216,88002,83079
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola salanitronis,10514,6055,6589,12008,13236,11717,10043,7600,5165,11909,10933
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola coprophilus,6417,3642,4366,12925,11552,6095,5963,4963,4200,9659,8933
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,72198,29628,55240,200977,75765,95182,79375,55269,46848,118859,95481
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella,9209,4627,7002,8976,8912,11658,8851,8531,4545,8995,8179
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter,6005,8422,6970,46351,36836,10049,7994,14825,38181,29144,34842
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas,8529,7295,6558,44909,36089,11822,9502,11776,23783,21507,27737
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella,13435,5431,10147,12394,12563,21630,17634,11128,5784,11935,10332
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter,4771,3075,3022,6633,6748,3822,3459,3662,2627,6115,5656
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,10946,5296,8404,11012,11707,15902,10544,8528,7172,11101,12113
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas,2714,1154,2104,2317,2322,3989,2821,2377,1495,2312,2467
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum,2517,1367,1896,2973,2515,3283,2557,2283,1356,2734,2663
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas,1287,827,998,1912,1675,1392,1219,1151,1110,1865,1737
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter,889,585,858,1538,1119,1094,968,894,862,1257,1309
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae|g__Salinivirga,508,393,474,772,742,442,307,477,403,837,690
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum,592,327,471,713,648,902,638,557,522,877,726
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium,1098,793,1031,1578,1432,1251,972,1156,1384,1501,1619
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea,919,553,649,1227,1107,1093,817,724,889,1170,1264
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae|g__Labilibaculum,419,431,316,901,705,383,413,486,688,739,808
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium,7200,8436,8154,10320,8756,6402,7158,7441,8241,9520,9905
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter,2267,4145,3272,1959,1465,1275,2254,1976,1615,2124,2154
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga,3103,2476,3142,4018,4008,3856,3398,3057,3012,4003,4362
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens,1567,1432,1362,1534,1582,935,951,990,796,1737,1495
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella,1303,1072,1220,1588,1351,1212,1125,1044,1256,1445,1660
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tenacibaculum,826,1321,1081,779,661,819,1173,774,611,829,758
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter,1014,1115,1070,1202,1115,547,718,914,804,1343,1206
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa,554,876,997,741,524,558,702,742,904,664,882
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita,752,631,967,952,957,673,600,687,806,991,1020
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Dokdonia,1078,836,888,902,913,738,690,724,495,865,888
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella,729,943,870,961,508,574,687,752,1080,808,833
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina,660,1116,843,791,632,506,907,729,797,704,823
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,486,569,811,511,419,610,654,554,568,540,616
