Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	13.76006497	12.87584389	13.42496748	12.2934966	12.4761092	13.66809143	13.36608917	12.43489977	11.1526612	12.15623385	11.47542806
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	14.56350514	12.04161521	12.47495459	12.54900678	12.47753522	14.04711825	14.13908463	13.68412256	11.14100404	11.87187028	11.61433422
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus	9.097812678	7.529179863	8.127106761	8.821512048	9.234370261	10.01644371	9.113458755	8.161875319	7.852538729	8.58187862	8.258968177
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	12.51237423	11.71147951	10.76966042	13.6131055	15.2907027	12.09764417	12.04725565	11.90375733	12.85455096	13.34965935	12.74257195
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	10.93640483	10.20625203	10.36955943	11.51315992	12.46312464	11.14089695	11.91547719	12.46049298	9.693129528	11.29650009	10.9650623
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	11.15004342	10.53917999	9.684433979	11.00074869	11.59865577	10.05110126	9.76494056	9.877033935	8.175796358	10.74314795	10.27194287
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	7.594324604	6.833583484	6.496139953	9.008622587	8.574465073	8.486824848	7.68724117	7.080917121	7.396417301	8.216141395	8.328542916
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	6.835629376	5.940314441	5.592778331	6.935736685	7.172039245	7.055874074	6.667800026	6.212453939	5.028541432	6.378394144	6.298860336
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus	9.149958767	7.924134218	8.31752557	11.4775016	11.54998475	9.184643034	9.93215458	8.190040066	9.587762642	10.48719832	10.14156197
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei	8.525651305	7.678519503	7.816233645	11.09746575	11.249629	8.079265376	9.301389907	7.34675162	9.24661212	10.18103433	9.820685333
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola salanitronis	7.461343016	6.552015843	6.21606413	7.779371816	8.13629563	7.694841595	7.276856202	6.628896689	6.134919068	7.303469007	6.905380119
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola coprophilus	6.754219433	5.828770829	5.632164222	7.885074244	7.940718351	6.758344874	6.531127439	6.021834404	5.841249266	7.003488365	6.616599459
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	10.23397911	8.830493039	9.266452044	11.83814679	10.64912202	10.71080833	10.25120171	9.478667963	9.29768347	10.6143546	10.02120792
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella	7.271307389	6.168703345	6.30262654	7.361736991	7.568135232	7.687593909	7.095830608	6.794020413	5.953228813	6.90156758	6.490733873
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	6.659401334	7.023724075	6.296102042	9.723102654	9.609656023	7.474445608	6.950037939	7.585735626	9.003071179	8.589204507	8.569235903
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	7.16138386	6.81818102	6.209352239	9.677561597	9.580137005	7.707650644	7.197498597	7.255496254	8.321848215	8.152141468	8.241192823
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	7.813246761	6.396872216	6.832164962	7.824813278	8.061284103	8.57607736	8.085015402	7.174390705	6.296019535	7.306595402	6.824510233
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter	6.331215542	5.589299084	5.114234957	6.928420888	7.169281844	6.092950098	5.756692726	5.591120505	5.179265869	6.350468817	5.965729946
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	7.519112018	6.360993834	6.562883418	7.655046268	7.95986938	8.13361294	7.346646087	6.793517561	6.602769779	7.202770976	7.052074125
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas	5.530861477	4.224395541	4.609925772	5.432913547	5.649169787	6.153764329	5.468566482	4.983719638	4.39583294	4.976050948	4.798240961
