Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	16.64447128	11.22146444	9.061693153	7.557061942	4.420159653	2.293159077	10.2937773	5.989946735	14.18890603	3.186477953	13.97104744	8.865119981	18.53866331	5.688691133	4.320704857	8.237987522	16.47791535
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	8.614911563	19.58495133	5.08201864	9.021593525	4.424531639	1.796638538	20.24293622	5.471607469	36.72392254	2.479108274	23.87486103	21.07577702	24.10929822	6.263848999	4.285918377	6.763919513	22.76121696
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus	0.421636623	0.442394482	0.221515121	0.679683933	0.466586196	0.243529762	0.381435833	0.641929802	0.738588817	0.246020299	0.731671267	0.457020277	1.473793969	0.610230587	0.436944667	0.68991132	0.762361203
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2.640788272	4.72513437	4.042304341	18.86456092	31.10143467	15.24295317	11.92227157	25.12591048	12.30568897	30.21484985	5.599626104	6.134227722	6.241097243	13.69461569	14.06068993	18.84219766	9.389941929
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2.000836602	1.584355993	1.423220323	4.399325965	4.380548806	4.719726581	3.270701759	3.862239194	2.116669245	5.007574064	5.110694769	9.023817899	3.214830429	3.993118445	1.569848119	4.538767539	3.033488338
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1.243851624	1.837362765	1.79295444	3.083696333	2.405660439	1.652124587	1.800597174	1.666287728	1.361925574	1.099085213	1.150050473	1.504203596	1.509661911	2.46904137	0.547161273	3.092299789	1.885944857
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0.135109706	0.155508772	0.136314153	0.774015924	0.29502685	0.170399775	0.19736824	0.949263394	0.292479532	0.57518361	0.271427748	0.215195862	0.509545359	0.640479179	0.317993243	0.535016759	0.235680319
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0.07153065	0.091579635	0.072833979	0.182823077	0.111124041	0.08443854	0.103517147	0.154226029	0.153709072	0.06550814	0.133226784	0.11714499	0.188087381	0.155349992	0.060074162	0.148375189	0.145349592
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus	0.481340962	0.458707062	0.291650176	4.291886215	2.325830612	2.0448379	1.243561367	4.229672878	2.323641743	2.545295646	1.291540485	0.4660616	0.827393985	2.255519336	1.45914766	2.589308849	1.402428498
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei	0.339610544	0.297293406	0.245805438	3.297616061	1.888549868	1.684080889	0.88212562	3.201994505	1.645745999	1.925861338	0.833652087	0.259060726	0.383794508	1.805332488	1.151468124	2.093860394	0.969544229
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola salanitronis	0.111002226	0.14174419	0.111931407	0.329284462	0.217547375	0.149609906	0.169411341	0.247530592	0.20894228	0.165543901	0.203900731	0.156881396	0.293686014	0.237577488	0.131531601	0.283354735	0.226839796
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola coprophilus	0.073552241	0.086510602	0.067325216	0.354430519	0.18986909	0.136839566	0.140668584	0.294908129	0.183731718	0.178197739	0.121065424	0.10244768	0.152770868	0.194116866	0.106956965	0.229819749	0.16132281
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.930606004	0.973335267	0.547696736	5.511209465	1.245276283	1.048913851	2.555728139	3.282891082	2.824376115	1.816115078	1.611532461	1.140878668	2.385732028	2.074831802	1.193028545	2.828051096	1.964337529
