Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,3317523,1377008,2167865,2498883,3607961,2643668,2947430,2597585,1356236,2430349,2133432
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales,2441,1779,2000,3731,3271,2739,2208,2370,2991,3425,3712
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,50852,57965,57039,64147,54787,46159,51490,49036,50886,61367,65221
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales,32217,21765,29941,36259,35403,40165,33111,32645,24072,37699,37451
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,13225,11229,12919,17045,16174,15031,13858,13088,13376,17709,18215
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales,7914,5823,8162,10289,10162,9866,8305,8208,7936,10282,11001
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis|f__Rhodothermaceae,931,556,808,757,830,658,701,910,555,809,920
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales,753,536,614,976,925,1025,725,799,591,993,994
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,2309,1747,2702,2477,2300,2985,2538,2933,2610,2736,3132
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales,381,464,580,351,372,259,366,501,420,518,659
d__Bacteria|p__Balneolaeota|g__Candidatus Cyclonatronum|s__Candidatus Cyclonatronum proteinivorum,175,119,215,179,110,306,236,215,176,209,270
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales,353,261,426,259,268,627,523,536,358,325,400
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales,501,439,419,414,453,730,515,344,275,528,471
d__Bacteria|p__Candidatus Cloacimonetes|g__Candidatus Cloacimonas|s__Candidatus Cloacimonas acidaminovorans,51,85,132,64,57,35,77,81,110,111,199
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales,388007,728960,1284189,256581,178697,268437,284000,538907,973499,577358,879334
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales,3936,6086,8060,4088,2720,2231,3098,4389,5377,4865,6229
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales,1117,2020,1741,1252,732,570,897,1115,1313,1182,1300
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales,477,658,1133,519,424,479,478,792,983,668,947
d__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales,139,226,262,129,191,106,170,271,384,216,431
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales,67,159,110,125,94,54,117,160,172,139,192
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,178083,120298,258747,35632,76276,35369,45029,63767,60500,37639,76402
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,58221,89983,113863,58250,40972,41735,54027,69418,95462,70483,90709
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,7660,12543,23106,27053,4635,18877,28058,18699,22640,42639,32360
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,3067,4464,7272,3001,2325,3010,3126,4467,6338,4251,6079
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales,1487,2300,3058,1470,1269,1454,1799,2603,2971,2257,3007
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales,1364,1715,2822,1059,758,1107,953,1555,2945,1932,2682
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales,3374,5728,5424,5022,2724,1815,2737,3655,4240,3834,4572
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Sedimentibacter,369,578,917,681,221,139,229,324,525,403,421
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella,124,191,156,84,79,68,132,191,277,141,190
d__Bacteria|p__Firmicutes|g__Ndongobacter|s__Ndongobacter massiliensis,166,181,380,110,87,164,156,250,256,181,252
d__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales,90,132,242,74,77,158,155,179,347,218,325
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales,643739,470891,258408,13995,542155,77928,53549,203439,47790,26523,141238
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales,28943,12741,46131,8170,16089,34435,38610,19150,13358,25259,16611
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales,14134,12131,19638,11621,12395,16275,15147,17723,16329,17111,20343
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales,11885,11478,19062,9518,10482,11949,11982,15954,17194,15578,20177
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales,4039,4065,5986,3368,3874,4455,4612,5355,5280,5304,6504
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales,3002,2885,4546,2175,2270,2872,2756,3614,4082,3590,4712
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales,2526,2319,3736,2060,2190,2626,2870,3557,3295,3441,3889
