Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes	18.98600099	17.24265331	17.97428555	18.99783411	19.49017252	19.2244307	18.83321657	18.54751096	18.09862241	18.46900192	18.10071482
d__Bacteria|p__Chlorobi	8.442117611	7.509123261	8.243980986	8.923183055	8.813639127	9.357315561	8.588360895	8.687560318	8.951939109	8.579655198	8.577861671
d__Bacteria|p__Ignavibacteriae	5.863551757	5.618174205	6.041384206	6.122021266	6.201902438	5.853575749	5.81665794	6.154952268	6.33146145	6.194667576	6.343227069
d__Bacteria|p__Balneolaeota	4.769992221	3.737747098	4.646383773	5.170277661	4.490043391	6.090317997	5.197632639	4.961162531	5.101272773	4.914049391	5.081284621
d__Bacteria|p__Gemmatimonadetes	5.755393014	4.810765216	5.604081673	5.690841478	5.736418108	7.114370497	6.323920762	6.251051995	6.104130962	5.533804853	5.634408657
d__Bacteria|p__Fibrobacteres	6.252624226	5.539942043	5.580673922	6.357025435	6.482602293	7.332331674	6.301961969	5.621761158	5.729918997	6.221880316	5.865750958
d__Bacteria|p__Candidatus Cloacimonetes	3.114360019	3.294941852	3.978360235	3.756715173	3.600066704	3.117496657	3.660752338	3.627473266	4.448199804	4.042746894	4.656218188
d__Bacteria|p__Firmicutes	16.60969174	16.67206803	17.58580601	16.30800151	15.94536052	16.37531507	16.01907049	16.65212792	17.81374785	16.71762461	17.08027058
d__Bacteria|p__Actinobacteria	16.74015307	15.76296366	15.41155842	13.73850687	16.85501611	15.22269258	14.48811806	15.34867852	14.69393957	14.11896968	14.89893256
d__Bacteria|p__Cyanobacteria	10.61442155	10.67400739	10.96626354	10.7527385	10.66799888	11.07157149	10.89048651	10.82824476	11.28342037	10.7995334	10.84349443
d__Bacteria|p__Tenericutes	10.16854033	10.53117957	10.18812259	10.9318264	10.03509316	9.768903574	10.31432661	10.26362012	11.00143898	10.28717625	9.81884733
d__Bacteria|p__Deinococcus-Thermus	8.346166861	7.718949151	8.555768377	8.686197102	8.743754252	9.044953914	8.281184709	8.588029236	9.420676266	8.887719843	9.002946418
d__Bacteria|p__Chloroflexi	8.132697967	7.649860269	8.440217628	8.365315485	8.272479751	8.784261577	8.07733359	8.619748027	9.097180868	8.531528284	8.62531235
d__Bacteria|p__Armatimonadetes	5.530094827	4.734137053	4.988854909	6.047191651	5.983408697	4.547094175	4.706512081	5.221888357	5.329020298	5.568138984	5.332849937
d__Bacteria|p__Proteobacteria	17.65303319	16.69209573	16.80637104	17.18969463	17.06150432	17.21017903	17.30444246	16.90521001	17.86922324	16.86337269	16.78977876
d__Bacteria|p__Spirochaetes	12.58252364	12.28347647	12.97913249	13.19946266	11.71758102	11.14161371	12.12251241	11.69111852	12.91735319	12.67216055	12.41461894
d__Bacteria|p__Planctomycetes	9.800103384	9.125152934	9.761976079	9.873179072	9.982060226	10.49778398	9.757085015	9.885526343	10.10457394	9.875953869	9.805176499
d__Bacteria|p__Verrucomicrobia	9.472431281	8.435564071	8.883435171	10.13420062	10.07610696	10.26063368	9.522943614	9.562535427	9.483848208	9.773465709	9.601958756
d__Bacteria|p__Chlamydiae	6.643548463	6.812191784	6.732615995	6.800934063	6.759674766	6.379775625	6.74194415	6.72647873	7.400543168	6.928145635	6.834992039
d__Bacteria|p__Candidatus Omnitrophica	2.77770689	3.167529244	4.51141756	3.172931596	3.600066704	2.922546896	2.508214245	3.643750983	4.801616376	3.39011198	4.329439732
d__Bacteria|p__Kiritimatiellaeota	4.041778386	3.216636978	4.338785967	4.904282943	3.073396751	4.925945276	4.714846035	4.567892901	4.579682639	4.499390029	4.248629555
d__Bacteria|p__Fusobacteria	9.678977406	10.06990076	9.864012677	10.35579969	9.325181874	9.121960784	9.660889023	9.577706055	10.10084719	9.557884224	9.557919112
d__Bacteria|p__Thermotogae	7.9343791	8.017447024	8.428089922	8.630328897	8.011651793	8.372464939	8.260696666	8.311911143	8.828176455	8.377903262	8.465643378
d__Bacteria|p__Acidobacteria	8.344167891	7.577295661	8.108495228	8.514739705	8.707836714	8.802807689	8.223944744	8.485641656	8.405159192	8.515122473	8.40323242
d__Bacteria|p__Synergistetes	7.459246931	7.108425797	8.002386601	7.277212595	7.158953346	7.754931463	7.261842477	7.591248942	8.830578664	7.854272879	8.252508865
d__Bacteria|p__Deferribacteres	7.02423011	7.815753373	7.171374085	7.313142024	6.98313493	7.121207301	7.862544298	8.173715496	8.802708776	7.490253687	8.546277545
d__Bacteria|p__Aquificae	6.421393705	7.008552663	6.617384277	6.93610922	6.33343868	6.349042697	6.587131768	6.890632828	7.860438752	6.909855434	7.268661687
d__Bacteria|p__Candidatus Saccharibacteria	7.596564848	5.824973091	5.858831947	7.904529083	7.957167202	6.623962523	6.681572491	8.129608849	5.944731604	8.538038725	8.171407906
