Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes	35.88665682	44.40910181	26.09467761	65.59593817	56.58849359	35.86117162	55.96869726	59.74736154	77.69625089	52.82089151	58.41903066	52.32551281	64.3609528	45.10624896	34.09562544	55.82887425	63.2839429
d__Bacteria|p__Chlorobi	0.042110099	0.029661777	0.030484538	0.060702988	0.034498932	0.032893084	0.037074374	0.05682501	0.046958695	0.034493083	0.048019389	0.056171899	0.068811797	0.061155535	0.060033867	0.058712887	0.057879775
d__Bacteria|p__Ignavibacteriae	0.009039178	0.004894386	0.008096638	0.008601836	0.005579827	0.005926509	0.00697914	0.005584886	0.006067558	0.004599078	0.006924782	0.009594995	0.005970605	0.012867656	0.009660622	0.011115963	0.007715238
d__Bacteria|p__Balneolaeota	0.00335073	0.002248078	0.002076508	0.004386692	0.001649949	0.001937144	0.003064913	0.004176662	0.003904986	0.002853787	0.00446516	0.004117613	0.007054074	0.005272029	0.004048261	0.004485012	0.003904096
d__Bacteria|p__Gemmatimonadetes	0.00663912	0.004534694	0.004554359	0.006347224	0.004019876	0.004468856	0.00504049	0.006641053	0.006475357	0.005365591	0.009895248	0.010265304	0.014453935	0.007810413	0.00823453	0.006974301	0.00918702
d__Bacteria|p__Fibrobacteres	0.006530027	0.006435925	0.007660396	0.010145756	0.00679479	0.005600455	0.006942213	0.00529684	0.004399288	0.00428068	0.009743887	0.00658818	0.016828346	0.009196761	0.006325407	0.011330557	0.006630767
d__Bacteria|p__Candidatus Cloacimonetes	0.002057192	0.000655154	0.00148322	0.001568426	0.000854974	0.000767186	0.00127397	0.001776282	0.000766168	0.002004726	0.001456853	0.001551287	0.000806838	0.003885681	0.002530163	0.002381992	0.001161933
d__Bacteria|p__Firmicutes	27.41501498	8.553189964	17.57062833	10.1660473	4.848719932	7.3875373	10.25531098	9.589568522	5.993783163	10.36281889	8.306275915	14.06511421	8.932001727	22.23569952	27.98610987	16.58207733	8.275490998
d__Bacteria|p__Actinobacteria	6.073890912	9.362703417	9.356554629	1.712500649	9.108858081	16.69599234	2.96251574	5.996726841	2.731525522	6.575749582	2.874295342	5.698488855	4.017617664	4.902205817	3.219379392	2.737445453	3.143959364
