Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9	6.742645388	6.70607973	6.221573226	4.118677502	5.093795417	4.173859788	6.235381382	4.114277261	6.608792587	3.193912467	6.719794884	5.504589989	7.371249868	4.018813026	2.709574779	4.498291215	6.193202069
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8	5.419150659	5.660077383	4.929792235	3.270057135	3.52650011	2.187701308	5.062853753	2.897959031	5.635096584	2.021928342	5.244707184	4.41262266	5.460475721	3.495510546	3.675886324	3.721058386	5.182642146
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii	9.85903506	10.86079299	9.231885033	10.30380675	10.6363577	9.571590143	10.21156029	10.39313436	11.59640805	9.700313106	11.14220174	10.11257752	11.6371636	9.534521999	9.31264581	10.21150044	11.06814995
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri	10.96702985	13.33478422	10.53063628	10.25254918	10.10930542	9.098159046	12.92479482	9.923118319	14.15670457	9.101890334	12.104172	12.73040074	11.86143514	9.015157569	8.803130809	10.18845015	12.53608266
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale	10.50328551	11.97371685	10.08586691	11.31123472	11.38768441	9.625618724	11.55990147	10.74569037	12.69184346	9.796085279	12.7561025	10.64173992	12.88196653	10.53280824	9.934743817	10.17356572	12.03320223
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus	7.432674148	8.358120862	6.839394691	8.181061307	8.674394814	7.548837162	7.686444698	8.339702827	8.983653355	7.203536158	8.461778572	7.530404976	9.460708747	7.635433701	7.217864223	7.934922886	8.430392399
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris	8.18987169	9.942782011	9.25412396	11.61081277	14.10061421	11.93646399	10.68418775	12.96851963	11.02825869	13.28218565	10.10002148	9.774718669	9.325627746	10.48782227	11.36359625	11.03705782	10.12599436
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301	6.674587411	8.986157571	8.524281468	10.40679075	10.99142123	11.69274261	9.847915145	9.447066852	8.841380825	11.31391184	6.960412518	8.44591603	8.275294708	9.65108155	8.942497877	10.70453352	9.290841282
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287	5.740027364	7.328331148	6.686444002	7.967984359	8.586338242	8.402702606	7.451323045	7.424172954	7.520913143	8.11716935	6.290646212	6.539476227	6.662887436	7.068225169	6.147353104	7.801165445	7.073174358
