Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9	6.70607973	6.221573226	6.742645388	4.118677502	5.093795417	7.371249868	6.719794884	5.504589989	2.709574779	4.498291215	4.018813026
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8	5.660077383	4.929792235	5.419150659	3.270057135	3.52650011	5.460475721	5.244707184	4.41262266	3.675886324	3.721058386	3.495510546
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii	10.86079299	9.231885033	9.85903506	10.30380675	10.6363577	11.6371636	11.14220174	10.11257752	9.31264581	10.21150044	9.534521999
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri	13.33478422	10.53063628	10.96702985	10.25254918	10.10930542	11.86143514	12.104172	12.73040074	8.803130809	10.18845015	9.015157569
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale	11.97371685	10.08586691	10.50328551	11.31123472	11.38768441	12.88196653	12.7561025	10.64173992	9.934743817	10.17356572	10.53280824
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus	8.358120862	6.839394691	7.432674148	8.181061307	8.674394814	9.460708747	8.461778572	7.530404976	7.217864223	7.934922886	7.635433701
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris	9.942782011	9.25412396	8.18987169	11.61081277	14.10061421	9.325627746	10.10002148	9.774718669	11.36359625	11.03705782	10.48782227
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301	8.986157571	8.524281468	6.674587411	10.40679075	10.99142123	8.275294708	6.960412518	8.44591603	8.942497877	10.70453352	9.65108155
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287	7.328331148	6.686444002	5.740027364	7.967984359	8.586338242	6.662887436	6.290646212	6.539476227	6.147353104	7.801165445	7.068225169
