Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9,0.0033460779260810736,0.0016229004029167462,0.0016782704572142525,0.0004915056749112102,0.0004357371657571353,0.00024846536431290614,0.001675179764799146,0.00039681979720284803,0.0017754148424148966,0.00015807557144536814,0.0026312036859470807,0.0012877918488990896,0.0043158572289824,0.0005713497854196509,0.00019293069527361804,0.0007565481152826251,0.0020251523369066576
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8,0.0013180403992694822,0.0007778907551626397,0.000671999184617956,0.0002595906665069186,0.00013832626353398882,5.182018982482287e-05,0.0007306457971450331,0.00015693196721276425,0.0008950204948889925,5.9369062186552396e-05,0.0009303377637473139,0.0005887323753665124,0.0011285502178170965,0.00038610437097140845,0.00041016525729243523,0.00042684621290264846,0.000991059057368222
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii,0.029259674306134742,0.02916965168423831,0.013683345864937664,0.03791775354931557,0.020909156443795946,0.011074585545968695,0.02669605111046979,0.03267563017592202,0.0568923891180134,0.016114708576289244,0.056934999287003296,0.03208254201342618,0.08350832243018665,0.027820420978143422,0.022105116924102625,0.041492690037821515,0.060219504211842
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri,0.06310445811092709,0.16213186499934368,0.03369648353537216,0.036593175533036676,0.014506329983434816,0.00797238911667395,0.17519534842002307,0.02358362485477379,0.3356577827225975,0.010636787625687498,0.11093146872403094,0.19707912620938253,0.09755776837040299,0.019398370528407254,0.015517568845203273,0.04083446373985578,0.16663190010294296
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale,0.04574849174314469,0.0631074044654872,0.02475081829720762,0.07625729814110661,0.035206204263166375,0.011497746048031658,0.06800811109622802,0.0417276541920719,0.12158716302935435,0.0172221085161944,0.17431761298539095,0.04631088345507856,0.19793910912948795,0.05561226123520054,0.034041015925633765,0.04041497694441697,0.117583274399768
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus,0.0054176244232085075,0.005134047693214405,0.0025875855492535236,0.008683150148502676,0.00535717049004485,0.002714337017243451,0.004619175562217785,0.00785344008127964,0.009285775307140785,0.002839118550872319,0.00886033623940954,0.005333279374228553,0.01845317693476848,0.007431516755050782,0.005148219081655891,0.008535746751258755,0.009652385240660939
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris,0.009178661036331722,0.015430304852758515,0.013896260773688726,0.09386322059181067,0.23090314406350101,0.05710652805407041,0.03705309208777932,0.19487721890897647,0.03836687762668155,0.193175606137803,0.027634276947587365,0.02537812324452243,0.01680146397693439,0.05390376924137504,0.09170839080497707,0.07356120444814966,0.031328065774946706
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301,0.00319044136062291,0.007943028107170567,0.008369974419979625,0.04072560670998082,0.02674735509993648,0.048227851338058396,0.020743107935489044,0.016948438655208495,0.008412029208416284,0.049353254629407865,0.0031133369720751152,0.010085534816630581,0.008099136671636765,0.030164569379832754,0.017094919801740455,0.058411107657091184,0.017547787065820736
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287,0.00165420672215756,0.0025065542615568485,0.002325004890996636,0.007486791003939753,0.005039189925167944,0.0049174870964333005,0.003921124514082478,0.004152069214266869,0.003357199438488906,0.00536542456137295,0.0019477102971475215,0.0026690485757205227,0.0026311916090596596,0.005003478644247032,0.0024330871041582714,0.007776843622387702,0.003750549057317344
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5141,0.0004463457551804356,0.0007159348543089782,0.000624492815525427,0.0035211144251835877,0.006155801796014619,0.0025830893748923713,0.0016887410837302002,0.005227288373821353,0.0016244995946230294,0.005912374747971799,0.0009473021680016916,0.0010083607705745584,0.0009317757499162846,0.002221621791847138,0.0026737253897095026,0.0034468567633635246,0.0015407523484389813
