Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. C9	0.334607793	0.16229004	0.167827046	0.049150567	0.043573717	0.024846536	0.167517976	0.03968198	0.177541484	0.015807557	0.263120369	0.128779185	0.431585723	0.057134979	0.01929307	0.075654812	0.202515234
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp. B8	0.13180404	0.077789076	0.067199918	0.025959067	0.013832626	0.005182019	0.07306458	0.015693197	0.089502049	0.005936906	0.093033776	0.058873238	0.112855022	0.038610437	0.041016526	0.042684621	0.099105906
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii	2.925967431	2.916965168	1.368334586	3.791775355	2.090915644	1.107458555	2.669605111	3.267563018	5.689238912	1.611470858	5.693499929	3.208254201	8.350832243	2.782042098	2.210511692	4.149269004	6.021950421
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri	6.310445811	16.2131865	3.369648354	3.659317553	1.450632998	0.797238912	17.51953484	2.358362485	33.56577827	1.063678763	11.09314687	19.70791262	9.755776837	1.939837053	1.551756885	4.083446374	16.66319001
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale	4.574849174	6.310740447	2.47508183	7.625729814	3.520620426	1.149774605	6.80081111	4.172765419	12.1587163	1.722210852	17.4317613	4.631088346	19.79391091	5.561226124	3.404101593	4.041497694	11.75832744
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus	0.541762442	0.513404769	0.258758555	0.868315015	0.535717049	0.271433702	0.461917556	0.785344008	0.928577531	0.283911855	0.886033624	0.533327937	1.845317693	0.743151676	0.514821908	0.853574675	0.965238524
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris	0.917866104	1.543030485	1.389626077	9.386322059	23.09031441	5.710652805	3.705309209	19.48772189	3.836687763	19.31756061	2.763427695	2.537812324	1.680146398	5.390376924	9.17083908	7.356120445	3.132806577
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CBA7301	0.319044136	0.794302811	0.836997442	4.072560671	2.67473551	4.822785134	2.074310794	1.694843866	0.841202921	4.935325463	0.311333697	1.008553482	0.809913667	3.016456938	1.70949198	5.841110766	1.754778707
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5287	0.165420672	0.250655426	0.232500489	0.7486791	0.503918993	0.49174871	0.392112451	0.415206921	0.335719944	0.536542456	0.19477103	0.266904858	0.263119161	0.500347864	0.24330871	0.777684362	0.375054906
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-5141	0.044634576	0.071593485	0.062449282	0.352111443	0.61558018	0.258308937	0.168874108	0.522728837	0.162449959	0.591237475	0.094730217	0.100836077	0.093177575	0.222162179	0.267372539	0.344685676	0.154075235
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. M10	0.024308743	0.038831956	0.035500214	0.19194295	0.173049364	0.163765377	0.097118077	0.148807424	0.081956287	0.225936297	0.041058776	0.055019016	0.063645713	0.142109697	0.112037825	0.222960911	0.083524549
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. HF-162	0.021992594	0.043791557	0.016216947	0.083272202	0.068219569	0.046841831	0.249623435	0.071346318	0.38584774	0.095803377	0.056793875	0.044925773	0.101337282	0.125278827	0.063400087	0.090609148	0.148987445
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CACC 737	0.020390771	0.042633795	0.020578895	0.0778772	0.06672874	0.036387277	0.252145365	0.0714746	0.382074859	0.099127463	0.055244951	0.033049952	0.097445729	0.126760791	0.068680927	0.064262433	0.157297502
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. ZJ-18	0.00716491	0.008683213	0.008831866	0.029567412	0.016380245	0.010250893	0.017582131	0.018472646	0.01630483	0.013920521	0.006269454	0.006118577	0.008881527	0.014554997	0.00603096	0.020282555	0.012931466
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. A1C1	0.005541441	0.016850128	0.004383542	0.04536706	0.039289943	0.017627916	0.179175952	0.038826765	0.278661349	0.068789728	0.025372848	0.005781333	0.045757125	0.077750147	0.039306254	0.030173612	0.094844882
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. PHL 2737	0.001796639	0.000938726	0.00090694	0.007286756	0.006472839	0.003009644	0.004353897	0.009492887	0.008443276	0.005617562	0.004007533	0.003806044	0.003860169	0.006007244	0.002970473	0.005416531	0.004388219
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides fragilis	0.34664311	0.429169777	0.369405207	1.545037404	0.808897266	0.688733318	0.751725321	1.052320776	0.869075704	0.79294713	0.541533287	0.568666333	0.726213905	0.9675368	0.504110204	1.260344397	0.73804751
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens	0.148688118	0.249043947	0.220235208	1.340727989	1.806337192	0.941928123	0.557822252	1.624716229	0.458247169	1.915065952	0.310006048	0.351577292	0.346442321	0.785599339	0.818950295	1.216040704	0.516219874
