#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom Control_327.biom --bowtie2out=Control_327_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id Control_327 --nproc 48 Control_327_QCd.fq.gz Control_327_metaphlan_bugs_list.tsv
#SampleID	Control_327
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.31652	
k__Viruses	10239	1.68348	
k__Bacteria|p__Proteobacteria	2|1224	42.26136	
k__Bacteria|p__Bacteroidetes	2|976	40.42906	
k__Bacteria|p__Firmicutes	2|1239	13.14696	
k__Bacteria|p__Actinobacteria	2|201174	2.15037	
k__Viruses|p__Viruses_unclassified	10239|	1.68348	
k__Bacteria|p__Deferribacteres	2|200930	0.32876	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	40.42906	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	37.84224	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.51645	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	4.41912	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.11245	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.11034	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.68348	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.51806	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.32876	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.04003	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	40.42906	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	37.84224	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.51645	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	4.41912	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.11245	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.11034	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	1.56825	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.51806	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.32876	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.07996	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.04003	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.03526	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	37.84224	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	32.21691	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	9.51645	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	7.00233	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	4.41912	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.11034	
