# Pathway	DSS_334_Abundance
UNMAPPED	7586897.3004979892
UNINTEGRATED	4124845.1800558600
UNINTEGRATED|unclassified	1951022.8787562521
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	330381.7620491753
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	263935.0717494417
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	183100.6526876819
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	169324.6127511491
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	167367.0415340660
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	148100.9391495409
UNINTEGRATED|g__Helicobacter.s__Helicobacter_apodemus	138625.6981179334
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	91709.3745137870
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	90846.4385551719
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	77762.6487919948
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	51612.3364626032
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	29984.6161173595
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	21560.1495063396
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	21506.8348233145
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	13696.1784596929
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	12219.6246038992
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	7305.5968109322
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	6458.0513882857
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	5196.3041543023
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	3062.6363756702
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	1713.3284034615
PWY-3841: folate transformations II	5508.6613715122
PWY-3841: folate transformations II|unclassified	4436.9508347553
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	182.4716420667
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	164.8196067669
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	87.5268387728
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	83.9747262409
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	58.5673199786
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	21.8569259106
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	15.9691590365
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_indistinctus	12.6501995836
TRNA-CHARGING-PWY: tRNA charging	5382.9027826420
TRNA-CHARGING-PWY: tRNA charging|unclassified	4024.4338771026
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	187.9366721433
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	159.0445704632
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	89.2450429109
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	58.8805155748
TRNA-CHARGING-PWY: tRNA charging|g__Oscillibacter.s__Oscillibacter_sp_1_3	20.4212970057
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_indistinctus	14.5775841004
PWY-1042: glycolysis IV (plant cytosol)	5306.0311102109
PWY-1042: glycolysis IV (plant cytosol)|unclassified	4137.6889966786
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_sartorii	275.9397804727
PWY-1042: glycolysis IV (plant cytosol)|g__Alistipes.s__Alistipes_timonensis	16.7501204044
PWY-6700: queuosine biosynthesis	4898.4330476074
PWY-6700: queuosine biosynthesis|unclassified	3789.5080198510
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	343.3658300482
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	180.6300834148
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_apodemus	140.4263027245
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	124.6467619436
PWY-6700: queuosine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	116.4724822143
PWY-6700: queuosine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	109.7664196212
