#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom DSS_treatedp.biom --bowtie2out=DSS_treatedp_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id DSS_treatedp --nproc 48 DSS_treatedp_QCd.fq.gz DSS_treatedp_metaphlan_bugs_list.tsv
#SampleID	DSS_treatedp
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	84.8371	
k__Viruses	10239	15.1629	
k__Bacteria|p__Proteobacteria	2|1224	46.28793	
k__Bacteria|p__Bacteroidetes	2|976	26.29538	
k__Viruses|p__Viruses_unclassified	10239|	15.1629	
k__Bacteria|p__Firmicutes	2|1239	7.21385	
k__Bacteria|p__Actinobacteria	2|201174	3.86653	
k__Bacteria|p__Deferribacteres	2|200930	1.17341	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	39.54074	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.29538	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	15.1629	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.74719	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.20809	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.84735	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	1.17341	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.54571	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.43857	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.02149	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.01918	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	39.54074	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	26.29538	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	14.46434	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.74719	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	6.20809	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	3.84735	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	1.17341	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.69856	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.54571	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.43857	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.02149	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01918	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	39.54074	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	14.64171	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae	10239|||2169561|11632	14.46434	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	10.40896	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	6.74719	
