# Pathway	test_Satya_Abundance
UNMAPPED	12415456.7009474840
UNINTEGRATED	5483797.7241255762
UNINTEGRATED|unclassified	2516196.4162437338
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	794266.3582647417
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	215324.3086781274
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	200860.5015552205
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	194236.8355047715
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	142537.9017023762
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	122865.7340626099
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	110370.2560461399
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	107252.9182794915
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	92529.5741858526
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	82001.5511878195
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	72717.1714153143
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	71536.3365518231
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	48255.4357023124
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	39585.3533435862
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	35055.1074289128
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	33398.7542214500
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	27291.2002796661
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	21009.5712445139
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	20733.9315016028
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	14841.1724583163
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	12228.1151879205
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	9273.8986992858
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	6492.0417047155
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	3249.5346552839
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_intestinalis	1778.3381699852
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	5456.1827107281
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	2766.0424537862
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_typhlonius	1291.4070031216
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Mucispirillum.s__Mucispirillum_schaedleri	99.1091866477
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caecimuris	93.0662529812
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	76.2395280541
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	62.6286930724
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	36.8298491265
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_faecichinchillae	5.6764405187
PWY-7111: pyruvate fermentation to isobutanol (engineered)	5456.1827107281
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	2766.0424537862
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_typhlonius	1291.4070031216
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	192.6532923083
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM2	174.7184215649
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculum.s__Muribaculum_intestinale	148.5948032868
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mucispirillum.s__Mucispirillum_schaedleri	99.1091866477
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caecimuris	68.9168064798
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM1	64.8841123307
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Parabacteroides.s__Parabacteroides_distasonis	62.6286930724
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis	59.2150200573
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_sartorii	44.9182713988
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	36.8298491265
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	36.2841567501
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	29.3024516695
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	20.7114048548
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	10.1970402738
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Dorea.s__Dorea_sp_5_2	6.7856792952
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_faecichinchillae	3.2058914513
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	1.8721071746
VALSYN-PWY: L-valine biosynthesis	5456.1827107281
VALSYN-PWY: L-valine biosynthesis|unclassified	2766.0424537862
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	1291.4070031216
VALSYN-PWY: L-valine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	192.6532923083
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	174.7184215649
VALSYN-PWY: L-valine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	148.5948032868
VALSYN-PWY: L-valine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	99.1091866477
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	93.0662529812
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	76.2395280541
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	64.8841123307
VALSYN-PWY: L-valine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	62.6286930724
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	44.9182713988
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	36.8298491265
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	36.2841567501
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	29.3024516695
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	20.7114048548
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	6.8759448724
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_sp_5_2	6.7856792952
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_faecichinchillae	5.6764405187
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	1.8721071746
PWY-5686: UMP biosynthesis	5194.5041444791
PWY-5686: UMP biosynthesis|unclassified	2393.4835607728
PWY-5686: UMP biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	992.3045103140
PWY-5686: UMP biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	202.5680570653
PWY-5686: UMP biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	144.3626903790
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	92.7725465411
PWY-5686: UMP biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	83.1267302615
PWY-5686: UMP biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	82.1072827355
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	63.1789199146
PWY-5686: UMP biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	58.0102118410
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	51.4292842287
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	49.0028204590
PWY-5686: UMP biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	37.8223679939
PWY-5686: UMP biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	26.6436052517
PWY-5686: UMP biosynthesis|g__Lactobacillus.s__Lactobacillus_johnsonii	8.1790941327
PWY-5686: UMP biosynthesis|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	8.1464586410
TRNA-CHARGING-PWY: tRNA charging	5065.6932850908
TRNA-CHARGING-PWY: tRNA charging|unclassified	2981.8959003228
TRNA-CHARGING-PWY: tRNA charging|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	203.6421863729
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	104.4900601894
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	64.6002173258
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	50.6075786942
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	49.7775626419
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	45.2814053191
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_johnsonii	15.9399330226
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_reuteri	14.1981951755
PWY-1042: glycolysis IV (plant cytosol)	4833.8338987041
PWY-1042: glycolysis IV (plant cytosol)|unclassified	3436.7300808409
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_sartorii	94.2291142939
PWY-3841: folate transformations II	4734.6938869903
PWY-3841: folate transformations II|unclassified	3328.9768052679
PWY-3841: folate transformations II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	184.8149391867
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	125.6061743422
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	82.9041763799
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	64.2821754978
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	59.6837314349
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	54.6259579709
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	51.7692126936
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	51.1847867375
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	30.3304541303
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_johnsonii	15.7109577501
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_reuteri	10.9917525690
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_faecichinchillae	3.7712736251
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	4662.9017496901
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	1828.3272154383
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	1030.8377721778
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_sp_MGM2	172.1513219418
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	159.3645572685
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	117.4921676337
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	89.4957104784
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	61.9156508689
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	61.7851734662
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	57.8235289673
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	47.6783586391
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	44.3699221792
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	32.1017371348
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	31.5739042664
