# Pathway	D_DSS_Abundance
UNMAPPED	11134611.6690910514
UNINTEGRATED	5969168.6977207679
UNINTEGRATED|unclassified	2829500.5727951373
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	566488.0016364686
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	414203.8063343539
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	377814.4218210897
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	361300.4176013939
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	177371.3613279841
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	150744.7055121106
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	143211.4946012055
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	130588.8719145632
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	53448.9162800577
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	48843.5824929608
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	30219.1632490130
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	28298.2092093553
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	24098.7361962980
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	22188.3824446983
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	21229.6890143031
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF502	19215.9222804884
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	16713.0179251880
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	16498.3017400877
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	15573.7804305475
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	11561.0881752832
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	10412.8105048103
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	8686.8249370588
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	8152.1723218674
UNINTEGRATED|g__Helicobacter.s__Helicobacter_apodemus	5222.4199373468
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2625.2173273366
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	2367.6642049933
PWY-3841: folate transformations II	7103.8621869166
PWY-3841: folate transformations II|unclassified	5587.0862334510
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	494.6761343876
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	257.8737398066
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	81.2697898058
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	62.0522307106
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	31.4699904555
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	14.0186952750
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_murinus	13.5924294887
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_reuteri	12.5738655152
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	8.0311304251
PWY-6700: queuosine biosynthesis	7092.6929523217
PWY-6700: queuosine biosynthesis|unclassified	5204.3723239063
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	543.4396045355
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	406.5066130919
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	384.7170758695
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	321.7479769813
PWY-6700: queuosine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	86.0531259377
PWY-6700: queuosine biosynthesis|g__Escherichia.s__Escherichia_coli	35.3123382200
PWY-6700: queuosine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	25.5678356364
PWY-6700: queuosine biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	17.7364270749
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	10.8252116767
PWY-6700: queuosine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	10.3364584639
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_apodemus	5.0268629485
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2.7177134415
TRNA-CHARGING-PWY: tRNA charging	6988.3125512923
TRNA-CHARGING-PWY: tRNA charging|unclassified	4833.0914129620
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	532.0111315685
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	260.9900212265
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	111.3364133413
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	71.1002626749
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	30.3861946456
TRNA-CHARGING-PWY: tRNA charging|g__Oscillibacter.s__Oscillibacter_sp_1_3	22.8768166046
TRNA-CHARGING-PWY: tRNA charging|g__Romboutsia.s__Romboutsia_ilealis	16.1040794601
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_reuteri	15.5576110902
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_johnsonii	12.9633308452
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	6847.8636478876
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	5012.9949170960
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	619.7871232877
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_sp_MGM2	372.0230881444
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	260.5644302087
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	70.4935953953
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	69.4787468178
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Alistipes.s__Alistipes_timonensis	56.7484178227
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Muribaculum.s__Muribaculum_intestinale	23.4504610978
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	16.5580333006
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	15.8244905142
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Alistipes.s__Alistipes_indistinctus	15.1018637490
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Clostridium.s__Clostridium_sp_ASF502	12.9273125975
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Lactobacillus.s__Lactobacillus_johnsonii	11.9025691072
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Escherichia.s__Escherichia_coli	11.5259656413
PWY-1042: glycolysis IV (plant cytosol)	6773.0971395411
PWY-1042: glycolysis IV (plant cytosol)|unclassified	4938.2111204241
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_sartorii	438.9184227715
PWY-1042: glycolysis IV (plant cytosol)|g__Alistipes.s__Alistipes_timonensis	55.1334149989
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	47.2622544846
PWY-1042: glycolysis IV (plant cytosol)|g__Romboutsia.s__Romboutsia_ilealis	21.4761275817
PWY-1042: glycolysis IV (plant cytosol)|g__Clostridium.s__Clostridium_sp_ASF502	17.3952637224
PWY-7219: adenosine ribonucleotides de novo biosynthesis	6145.5018608073
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	3968.0684253489
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	614.1837563275
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	362.1587976015
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	331.0775914449
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	284.1519043332
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	95.6467879215
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	72.2777533175
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_timonensis	42.8800592526
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	27.2961738674
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	23.3354605867
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_reuteri	22.1009472669
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	18.8691697728
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Oscillibacter.s__Oscillibacter_sp_1_3	17.8980851045
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Romboutsia.s__Romboutsia_ilealis	15.8273156763
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	14.4039010662
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	14.2065525073
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_murinus	13.9858315140
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	13.9704150956
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	13.3835135998
PWY-7221: guanosine ribonucleotides de novo biosynthesis	6066.3150765014
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	3673.1432795359
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	551.6764318155
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	436.9337115019
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	383.1496947383
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	323.2335621581
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	118.2582878654
