#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom D_RCE.biom --bowtie2out=D_RCE_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id D_RCE --nproc 48 D_RCE_QCd.fq.gz D_RCE_metaphlan_bugs_list.tsv
#SampleID	D_RCE
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.59588	
k__Viruses	10239	0.40412	
k__Bacteria|p__Bacteroidetes	2|976	70.84839	
k__Bacteria|p__Proteobacteria	2|1224	20.43003	
k__Bacteria|p__Firmicutes	2|1239	5.69935	
k__Bacteria|p__Actinobacteria	2|201174	2.31184	
k__Viruses|p__Viruses_unclassified	10239|	0.40412	
k__Bacteria|p__Deferribacteres	2|200930	0.30628	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	70.84839	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	10.67162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	9.75841	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.64967	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.29096	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.91491	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.04782	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.40412	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.30628	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.08695	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02088	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	70.84839	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	10.67162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	9.75841	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.64967	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.29096	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.91491	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.04782	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.30628	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0.20926	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.08695	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.03464	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.02088	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	38.48456	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	23.77843	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	10.67162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	9.75841	
