# Pathway	D_RCE_Abundance
UNMAPPED	9344128.7470727395
UNINTEGRATED	7330068.2670467328
UNINTEGRATED|unclassified	3867848.3321808153
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	555304.4786467723
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	460078.4063614496
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	357271.4826802004
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	322163.5887266095
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	274395.9493866136
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	247370.8559891275
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	202929.1314977037
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	201487.7715095238
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	158070.1195889999
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	120167.2948849985
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	77704.5310438512
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	68088.0751069491
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	49487.7666804924
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	48185.1407199497
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	38403.5477234781
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	31782.6427750050
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	26326.4649909809
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	24665.3396258283
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	22426.1535900364
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	21132.1990693086
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	11338.6389199521
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	8996.0708349575
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	8791.9209565761
