# Pathway	D_RCE_plus_DSS_Abundance
UNMAPPED	15027331.3225617185
UNINTEGRATED	7596683.3190428754
UNINTEGRATED|unclassified	3689438.3621538822
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	854018.6625288799
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	805221.0741238469
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	326350.9694540109
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	143889.9392575764
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	143762.3726313610
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	131110.9668858269
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	123744.7616545023
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	86741.8618838382
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	83223.4708871320
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	79656.7826858771
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	55258.7852775171
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	47689.5453854231
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	47153.6547483306
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_ASF502	44318.1862794863
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	34611.7580788514
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	34598.6878017308
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	22450.0555794912
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	21399.4181676110
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	20574.5026298749
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	18817.7379525118
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	17535.8987864949
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	17517.4614437676
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	16966.9660093709
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	15267.4314618825
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	14188.9381348161
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	10385.2945901372
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	5781.9472183625
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	2843.9201772051
TRNA-CHARGING-PWY: tRNA charging	8447.8315950906
TRNA-CHARGING-PWY: tRNA charging|unclassified	5450.6217942476
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	920.4608641909
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	252.4274763929
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	215.0337744585
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	64.6939594119
TRNA-CHARGING-PWY: tRNA charging|g__Oscillibacter.s__Oscillibacter_sp_1_3	57.8725431145
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	47.2034083615
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	27.2550326672
TRNA-CHARGING-PWY: tRNA charging|g__Romboutsia.s__Romboutsia_ilealis	26.9698915540
PWY-3841: folate transformations II	7875.2010635737
PWY-3841: folate transformations II|unclassified	5751.9320417497
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	846.8371137320
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	223.1217337866
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	126.0692614564
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	49.2016917634
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	45.0084966099
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	32.3328206884
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	26.8870455277
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	25.9514610454
PWY-3841: folate transformations II|g__Clostridium.s__Clostridium_sp_ASF502	13.6574955627
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	12.4899601651
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_johnsonii	12.1627585725
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	11.0076177565
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	7811.0789315748
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	3898.0182671415
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	1093.0361918370
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	802.5377243185
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	194.8721429941
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_timonensis	141.1775273693
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_sp_MGM2	83.7082755600
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	64.8931361491
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	61.9966902203
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	45.0110342124
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	41.0249631047
