#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom RCE_plus_DSS_305.biom --bowtie2out=RCE_plus_DSS_305_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id RCE_plus_DSS_305 --nproc 48 RCE_plus_DSS_305_QCd.fq.gz RCE_plus_DSS_305_metaphlan_bugs_list.tsv
#SampleID	RCE_plus_DSS_305
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.6951	
k__Viruses	10239	0.3049	
k__Bacteria|p__Proteobacteria	2|1224	79.66432	
k__Bacteria|p__Bacteroidetes	2|976	13.38971	
k__Bacteria|p__Firmicutes	2|1239	4.85138	
k__Bacteria|p__Deferribacteres	2|200930	1.41005	
k__Bacteria|p__Actinobacteria	2|201174	0.37964	
k__Viruses|p__Viruses_unclassified	10239|	0.3049	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	78.0091	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.38971	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.63177	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.65429	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	1.41005	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.81663	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.37378	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.3049	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.23805	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.16492	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.00586	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00093	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	78.0091	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	13.38971	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.63177	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.65429	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	1.41005	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.81663	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.37378	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0.28513	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.23805	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.16492	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00586	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00093	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	78.0091	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.53042	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	4.25575	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.62256	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	2.24586	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	1.65429	
