#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom Start.biom --bowtie2out=Start_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id Start --nproc 48 Start_QCd.fq.gz Start_metaphlan_bugs_list.tsv
#SampleID	Start
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.42336	
k__Viruses	10239	0.57664	
k__Bacteria|p__Bacteroidetes	2|976	46.69764	
k__Bacteria|p__Proteobacteria	2|1224	45.75573	
k__Bacteria|p__Firmicutes	2|1239	5.2581	
k__Bacteria|p__Actinobacteria	2|201174	1.03638	
k__Bacteria|p__Deferribacteres	2|200930	0.6755	
k__Viruses|p__Viruses_unclassified	10239|	0.57664	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	46.69764	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	36.60177	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	9.15396	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.74724	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.83779	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.97904	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.6755	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.57664	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.49111	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.18195	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.05735	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	46.69764	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	36.60177	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	9.15396	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.74724	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.83779	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.97904	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.6755	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0.54055	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.49111	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.18195	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.05735	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.01893	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.01717	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	36.60177	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	27.56654	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	15.02817	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	9.15396	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.47843	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.08876	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.83779	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.97904	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	2|200930|68337|191393|191394	0.6755	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.59467	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.57164	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae	10239|||2169561|11632	0.54055	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.49111	
