# Pathway	Start_Abundance
UNMAPPED	12380428.1964164209
UNINTEGRATED	7295249.2066748589
UNINTEGRATED|unclassified	3931671.9338030126
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	508274.0599058928
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	343491.3163513732
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	340944.3794429383
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	183300.7831165246
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	174972.5784786097
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	137761.4152935414
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	115587.6066236061
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	112647.0916466605
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	112405.8813215328
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	77046.3130986449
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	71115.3638802907
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	64903.3289453196
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	56705.7790348202
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_COE1	54362.6663728433
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	50525.8354417517
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	40264.5020760556
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	35555.4368059709
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	29255.7870898648
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	24145.5912043535
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	23919.4485774800
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	22225.4104779504
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	19517.3916289227
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	13880.9434307743
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	13661.2814156121
UNINTEGRATED|g__Acutalibacter.s__Acutalibacter_muris	13558.9405943225
UNINTEGRATED|g__Helicobacter.s__Helicobacter_apodemus	12183.7524016861
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	11074.2987828885
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2	9893.7136050448
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	9560.7943273807
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	9304.9241079519
UNINTEGRATED|g__Helicobacter.s__Helicobacter_ganmani	1752.2173160149
PWY-3841: folate transformations II	6483.1626242586
PWY-3841: folate transformations II|unclassified	5072.7262095493
