Start_metaphlan_bugs_list	RCE_plus_DSS_313_metaphlan_bugs_list	RCE_plus_DSS_305_metaphlan_bugs_list	RCE_plus_DSS_301_metaphlan_bugs_list	RCE_322_metaphlan_bugs_list	RCE_319_metaphlan_bugs_list	RCE_318_metaphlan_bugs_list	D_RCE_plus_DSS_metaphlan_bugs_list	D_RCE_metaphlan_bugs_list	D_DSS_metaphlan_bugs_list	D_Control_metaphlan_bugs_list	DSS_treatedp_metaphlan_bugs_list	DSS_339_metaphlan_bugs_list	DSS_334_metaphlan_bugs_list	Control_330_metaphlan_bugs_list	Control_328_metaphlan_bugs_list	Control_327_metaphlan_bugs_list
Start_metaphlan_bugs_list	0	0.255582068819172	0.449696138523997	0.159192951644949	0.232324625046667	0.113534687339152	0.0739675153330601	0.246638942772811	0.311447757822532	0.207867176091746	0.160055147159373	0.255259805076274	0.38797874911202	0.24062474850179	0.303616537914071	0.206444014888626	0.150560780532076
RCE_plus_DSS_313_metaphlan_bugs_list	0.255582068819172	0	0.370270323039738	0.226924405039588	0.386248371397526	0.226048021771491	0.258060720036302	0.198204957900113	0.498813730190392	0.310413129989493	0.282043395211388	0.211947225610952	0.528507102803746	0.242887396799945	0.294778020242845	0.259400041228478	0.280291184537286
RCE_plus_DSS_305_metaphlan_bugs_list	0.449696138523997	0.370270323039738	0	0.364748763588146	0.647841701956739	0.394751674730221	0.492582847263267	0.287249734556902	0.735121860742869	0.545871139372073	0.304933669673989	0.323491612349525	0.698009456091213	0.281255827575797	0.211686041420365	0.307927842156219	0.445846499684558
RCE_plus_DSS_301_metaphlan_bugs_list	0.159192951644949	0.226924405039588	0.364748763588146	0	0.33747295943842	0.0779839441684738	0.190405557878919	0.166703212700078	0.388827765566014	0.232567937465181	0.116522577972019	0.159191353885545	0.420078884976898	0.168426099461539	0.259587624221069	0.184113428440641	0.182711979746613
RCE_322_metaphlan_bugs_list	0.232324625046667	0.386248371397526	0.647841701956739	0.33747295943842	0	0.300467220123853	0.179860844704425	0.434819497629088	0.211149830131345	0.217949028496428	0.37054930885258	0.40206379832835	0.29691294645794	0.440709020117685	0.515145447892293	0.414972541754518	0.349061027697833
RCE_319_metaphlan_bugs_list	0.113534687339152	0.226048021771491	0.394751674730221	0.0779839441684738	0.300467220123853	0	0.151569024960972	0.198643633179158	0.357419726010542	0.228332976821266	0.127537896977033	0.177931520375333	0.416886556123499	0.20170150469668	0.269908862677582	0.196612757210592	0.161263470085023
RCE_318_metaphlan_bugs_list	0.0739675153330601	0.258060720036302	0.492582847263267	0.190405557878919	0.179860844704425	0.151569024960972	0	0.276414465000747	0.287584957305801	0.160727291217402	0.213349599802181	0.280562375847759	0.364997406677387	0.281039019056717	0.365762363620465	0.265685667885441	0.209844508038792
D_RCE_plus_DSS_metaphlan_bugs_list	0.246638942772811	0.198204957900113	0.287249734556902	0.166703212700078	0.434819497629088	0.198643633179158	0.276414465000747	0	0.506338277892654	0.281956823978441	0.157722357401277	0.114117459865324	0.481161926949363	0.162297139331307	0.197020036751034	0.12031605771114	0.269464620267143
D_RCE_metaphlan_bugs_list	0.311447757822532	0.498813730190392	0.735121860742869	0.388827765566014	0.211149830131345	0.357419726010542	0.287584957305801	0.506338277892654	0	0.292481575824613	0.440354880939747	0.497374875329468	0.26806613293887	0.518332570330665	0.587692760134402	0.492849242767917	0.428192907338362
D_DSS_metaphlan_bugs_list	0.207867176091746	0.310413129989493	0.545871139372073	0.232567937465181	0.217949028496428	0.228332976821266	0.160727291217402	0.281956823978441	0.292481575824613	0	0.3136528352051	0.280358457140903	0.282941698961037	0.339548110602645	0.454870935424483	0.369342366878737	0.305587847448594
