Kingdom	Phylum	Class	Order	Family	Genus	Species	p-values	p-values (corrected)	Effect size	Note	Control: mean rel. freq. (%)	Control: std. dev. (%)	DSS: mean rel. freq. (%)	DSS: std. dev. (%)	RCE: mean rel. freq. (%)	RCE: std. dev. (%)	RCE_plus_DSS: mean rel. freq. (%)	RCE_plus_DSS: std. dev. (%)	Control_327	Control_327: parent seq. count	Control_327: rel. freq. (%)	Control_328	Control_328: parent seq. count	Control_328: rel. freq. (%)	Control_330	Control_330: parent seq. count	Control_330: rel. freq. (%)	DSS_334	DSS_334: parent seq. count	DSS_334: rel. freq. (%)	DSS_339	DSS_339: parent seq. count	DSS_339: rel. freq. (%)	DSS_treatedp	DSS_treatedp: parent seq. count	DSS_treatedp: rel. freq. (%)	RCE_318	RCE_318: parent seq. count	RCE_318: rel. freq. (%)	RCE_319	RCE_319: parent seq. count	RCE_319: rel. freq. (%)	RCE_322	RCE_322: parent seq. count	RCE_322: rel. freq. (%)	RCE_plus_DSS_301	RCE_plus_DSS_301: parent seq. count	RCE_plus_DSS_301: rel. freq. (%)	RCE_plus_DSS_305	RCE_plus_DSS_305: parent seq. count	RCE_plus_DSS_305: rel. freq. (%)	RCE_plus_DSS_313	RCE_plus_DSS_313: parent seq. count	RCE_plus_DSS_313: rel. freq. (%)
k__(null)	p__(null)	c__(null)	o__(null)	f__(null)	g__(null)	s__(null)	0.214616029	0.214616029	0.410947735		4.207836513	1.076486706	5.441048231	3.326167167	2.284420232	0.414785641	1.762852316	0.367417396	534676	19438122	2.750656674	885350	19438110	4.554712367	1033746	19438110	5.318140498	235895	19438101	1.213570194	1121256	19438115	5.768337105	1815760	19438110	9.341237394	369574	19438098	1.901286844	556059	19438102	2.8606651	406511	19438115	2.091308751	442647	19438095	2.277213894	305071	19438108	1.569448014	280277	19438100	1.441895041
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus reuteri	1.82E-05	1.82E-05	0.947549204		0.147332535	0.010033992	0	0	0	0	0.019202842	0.02715692	30965	19438122	0.159300369	28759	19438110	0.147951627	26192	19438110	0.134745611	0	19438101	0	0	19438115	0	0	19438110	0	0	19438098	0	0	19438102	0	0	19438115	0	11198	19438095	0.057608526	0	19438108	0	0	19438100	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__Odoribacter splanchnicus	0.000141762	0.000141762	0.912082106		0.027061959	0.038271389	0.328044617	0.043693189	0.065340721	0.046578004	0.235501396	0.01700847	0	19438122	0	0	19438110	0	15781	19438110	0.081185877	75675	19438101	0.389312721	56460	19438115	0.290460263	59162	19438110	0.304360866	0	19438098	0	20456	19438102	0.105236612	17647	19438115	0.090785552	43029	19438095	0.221364285	50427	19438108	0.259423397	43875	19438100	0.225716505
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__(Odoribacter)	0.000164222	0.000164222	0.908756653		0.194430735	0.04363469	1.313468047	0.248180567	0.315991033	0.081233307	0.956134181	0.121394137	31686	19438122	0.163009575	31907	19438110	0.164146617	49788	19438110	0.256136013	323221	19438101	1.662821898	227041	19438115	1.168019636	215678	19438110	1.109562607	51484	19438098	0.264861305	83710	19438102	0.430649042	49074	19438115	0.252462752	174442	19438095	0.897423333	218718	19438108	1.125202103	164403	19438100	0.845777108
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__(Odoribacteraceae)	s__(Odoribacteraceae)	0.000478967	0.000478967	0.880389957		0.213376339	0.082195879	1.779753159	0.382039512	0.364672058	0.1546015	1.225061322	0.214174765	28538	19438122	0.146814595	31903	19438110	0.164126039	63988	19438110	0.329188383	450284	19438101	2.316502008	304173	19438115	1.564827659	283394	19438110	1.457929809	52797	19438098	0.271616081	113235	19438102	0.582541444	46624	19438115	0.239858649	218505	19438095	1.124107069	296013	19438108	1.522848829	199868	19438100	1.028228068
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__(Pseudoflavonifractor)	g__Pseudoflavonifractor	s__(Pseudoflavonifractor)	0.000497658	0.000497658	0.879224119		0.081077821	0.011909065	0.010352515	0.014640668	0.01820308	0.025743043	0.152777265	0.028033323	18813	19438122	0.096784041	13210	19438110	0.067959282	15257	19438110	0.078490141	0	19438101	0	0	19438115	0	6037	19438110	0.031057546	0	19438098	0	10615	19438102	0.054609241	0	19438115	0	29921	19438095	0.153929693	36256	19438108	0.186520211	22914	19438100	0.117881892
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__(Oscillospiraceae)	s__(Oscillospiraceae)	0.000525257	0.000525257	0.877560747		0.017566861	0.004924253	0.00612371	0.001733057	0.007763103	0.003389639	0.029553642	0.00316139	4258	19438122	0.021905408	2076	19438110	0.010680051	3910	19438110	0.020115124	1615	19438101	0.008308425	791	19438115	0.004069325	1165	19438110	0.005993381	982	19438098	0.005051935	2438	19438102	0.012542377	1107	19438115	0.005694997	6479	19438095	0.033331456	5780	19438108	0.029735404	4975	19438100	0.025594065
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__(Oscillibacter)	0.000888708	0.000888708	0.860083871		0.185554686	0.051404808	0.067794667	0.019540228	0.086177815	0.040489752	0.311920047	0.038227652	45717	19438122	0.235192474	22303	19438110	0.114738521	40185	19438110	0.206733062	17991	19438101	0.092555338	8706	19438115	0.044788294	12837	19438110	0.066040371	11013	19438098	0.056656778	27880	19438102	0.143429641	11361	19438115	0.058447025	68475	19438095	0.352272175	62766	19438108	0.322901797	50653	19438100	0.260586168
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__(Muribaculum)	0.001531709	0.001531709	0.83930547		0.005748157	0.000546102	0.036018596	0.008108608	0.018578629	0.004087695	0.02625428	0.003324299	1136	19438122	0.005844186	1237	19438110	0.006363787	979	19438110	0.005036498	9151	19438101	0.047077644	5416	19438115	0.027862784	6437	19438110	0.033115359	3056	19438098	0.015721703	4735	19438102	0.024359374	3043	19438115	0.01565481	5307	19438095	0.027302058	4230	19438108	0.021761377	5773	19438100	0.029699405
k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__(Mycoplasma)	0.001783282	0.001783282	0.832956141		0	0	0.046460279	0.013720784	0	0	0.007420135	0.010493656	0	19438122	0	0	19438110	0	0	19438110	0	8260	19438101	0.042493863	12614	19438115	0.064893124	6219	19438110	0.031993851	0	19438098	0	0	19438102	0	0	19438115	0	0	19438095	0	0	19438108	0	4327	19438100	0.022260406
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__Oscillibacter sp. 1-3	0.001929021	0.001929021	0.829576281		0.288241254	0.08390096	0.126252008	0.04241761	0.135729973	0.059042912	0.496598566	0.078639869	71233	19438122	0.366460299	33407	19438110	0.171863417	63446	19438110	0.326400046	34813	19438101	0.179096713	14626	19438115	0.075243922	24184	19438110	0.124415388	18255	19438098	0.093913509	42614	19438102	0.219229223	18281	19438115	0.094047185	96597	19438095	0.496946846	115217	19438108	0.592737729	77774	19438100	0.400111122
